region,year,week,patient_count,avg_temp,max_temp,min_temp,rainfall,avg_wind,avg_humidity,lag1_avg_temp,lag1_max_temp,lag1_min_temp,lag1_rainfall,lag1_avg_wind,lag1_avg_humidity,lag2_avg_temp,lag2_max_temp,lag2_min_temp,lag2_rainfall,lag2_avg_wind,lag2_avg_humidity,lag3_avg_temp,lag3_max_temp,lag3_min_temp,lag3_rainfall,lag3_avg_wind,lag3_avg_humidity,week_sin,week_cos,fall_peak,fall_core_peak,split,risk_label,is_risky
강원,2016,1,1.0,2.66,12.0,-2.2,0.0,3.7,28.21,4.47,13.8,-3.1,0.0,3.57,37.03,4.71,10.9,-2.2,0.5,2.54,50.5,4.59,11.1,-3.6,0.2,2.9,40.99,0.1182731709213658,0.9929810960135169,0,0,train,주의,0
강원,2016,2,0.0,0.44,7.2,-4.1,0.4,2.71,39.2,2.66,12.0,-2.2,0.0,3.7,28.21,4.47,13.8,-3.1,0.0,3.57,37.03,4.71,10.9,-2.2,0.5,2.54,50.5,0.23488604578098368,0.9720229140804107,0,0,train,낮음,0
강원,2016,3,1.0,-4.87,4.5,-14.7,0.0,4.16,28.67,0.44,7.2,-4.1,0.4,2.71,39.2,2.66,12.0,-2.2,0.0,3.7,28.21,4.47,13.8,-3.1,0.0,3.57,37.03,0.34820163543439875,0.9374196611341209,0,0,train,주의,0
강원,2016,4,0.0,0.34,6.5,-10.6,27.0,2.89,49.74,-4.87,4.5,-14.7,0.0,4.16,28.67,0.44,7.2,-4.1,0.4,2.71,39.2,2.66,12.0,-2.2,0.0,3.7,28.21,0.4566292373937131,0.8896570909947473,0,0,train,낮음,0
강원,2016,5,2.0,-0.04,8.0,-6.0,12.0,2.91,38.41,0.34,6.5,-10.6,27.0,2.89,49.74,-4.87,4.5,-14.7,0.0,4.16,28.67,0.44,7.2,-4.1,0.4,2.71,39.2,0.5586467658036525,0.8294056854502019,0,0,train,주의,0
강원,2016,6,0.0,3.51,9.2,-2.7,16.5,2.24,61.9,-0.04,8.0,-6.0,12.0,2.91,38.41,0.34,6.5,-10.6,27.0,2.89,49.74,-4.87,4.5,-14.7,0.0,4.16,28.67,0.6528221181905216,0.7575112421616201,0,0,train,낮음,0
강원,2016,7,0.0,2.39,10.2,-5.5,0.0,3.41,34.41,3.51,9.2,-2.7,16.5,2.24,61.9,-0.04,8.0,-6.0,12.0,2.91,38.41,0.34,6.5,-10.6,27.0,2.89,49.74,0.7378332790417274,0.6749830015182106,0,0,train,낮음,0
강원,2016,8,2.0,2.31,9.7,-4.0,20.0,2.24,50.87,2.39,10.2,-5.5,0.0,3.41,34.41,3.51,9.2,-2.7,16.5,2.24,61.9,-0.04,8.0,-6.0,12.0,2.91,38.41,0.8124868780056813,0.5829794791144721,0,0,train,주의,0
강원,2016,9,3.0,4.39,14.1,-5.3,6.5,2.77,59.01,2.31,9.7,-4.0,20.0,2.24,50.87,2.39,10.2,-5.5,0.0,3.41,34.41,3.51,9.2,-2.7,16.5,2.24,61.9,0.8757349421956369,0.48279220273074486,0,0,train,주의,0
강원,2016,10,1.0,3.57,12.3,-2.7,10.3,2.0,52.04,4.39,14.1,-5.3,6.5,2.77,59.01,2.31,9.7,-4.0,20.0,2.24,50.87,2.39,10.2,-5.5,0.0,3.41,34.41,0.9266896074318334,0.3758275821142382,0,0,train,주의,0
강원,2016,11,1.0,10.37,21.5,-1.2,2.0,2.36,42.63,3.57,12.3,-2.7,10.3,2.0,52.04,4.39,14.1,-5.3,6.5,2.77,59.01,2.31,9.7,-4.0,20.0,2.24,50.87,0.9646355819083586,0.2635871660690678,0,0,train,주의,0
강원,2016,12,1.0,7.64,16.3,1.6,10.5,2.14,55.8,10.37,21.5,-1.2,2.0,2.36,42.63,3.57,12.3,-2.7,10.3,2.0,52.04,4.39,14.1,-5.3,6.5,2.77,59.01,0.9890401873221639,0.14764656400248127,0,0,train,주의,0
강원,2016,13,0.0,13.7,22.3,7.9,1.0,2.56,43.2,7.64,16.3,1.6,10.5,2.14,55.8,10.37,21.5,-1.2,2.0,2.36,42.63,3.57,12.3,-2.7,10.3,2.0,52.04,0.9995608365087943,0.029633327822559667,0,0,train,낮음,0
강원,2016,14,0.0,14.39,23.5,5.5,26.0,2.74,49.21,13.7,22.3,7.9,1.0,2.56,43.2,7.64,16.3,1.6,10.5,2.14,55.8,10.37,21.5,-1.2,2.0,2.36,42.63,0.9960498426152169,-0.08879589532293478,0,0,train,낮음,0
강원,2016,15,1.0,14.04,27.0,4.0,20.0,2.47,53.7,14.39,23.5,5.5,26.0,2.74,49.21,13.7,22.3,7.9,1.0,2.56,43.2,7.64,16.3,1.6,10.5,2.14,55.8,0.978556492299504,-0.20597861874109827,0,0,train,주의,0
강원,2016,16,0.0,15.14,28.3,7.6,26.0,2.74,44.23,14.04,27.0,4.0,20.0,2.47,53.7,14.39,23.5,5.5,26.0,2.74,49.21,13.7,22.3,7.9,1.0,2.56,43.2,0.9473263538541914,-0.32026985386283763,0,0,train,낮음,0
강원,2016,17,3.0,14.67,26.6,6.8,0.0,2.66,53.07,15.14,28.3,7.6,26.0,2.74,44.23,14.04,27.0,4.0,20.0,2.47,53.7,14.39,23.5,5.5,26.0,2.74,49.21,0.9027978299657434,-0.43006520227652056,0,0,train,주의,0
강원,2016,18,2.0,17.96,27.3,9.1,1.0,3.01,47.21,14.67,26.6,6.8,0.0,2.66,53.07,15.14,28.3,7.6,26.0,2.74,44.23,14.04,27.0,4.0,20.0,2.47,53.7,0.8455960035018261,-0.5338233779647907,0,0,train,주의,0
강원,2016,19,2.0,16.01,28.1,8.6,31.5,2.41,60.49,17.96,27.3,9.1,1.0,3.01,47.21,14.67,26.6,6.8,0.0,2.66,53.07,15.14,28.3,7.6,26.0,2.74,44.23,0.7765238627180424,-0.630087843581711,0,0,train,주의,0
강원,2016,20,4.0,20.7,29.8,11.6,1.0,2.23,36.67,16.01,28.1,8.6,31.5,2.41,60.49,17.96,27.3,9.1,1.0,3.01,47.21,14.67,26.6,6.8,0.0,2.66,53.07,0.6965510290629972,-0.717507257044331,0,0,train,높음,1
강원,2016,21,2.0,22.09,30.5,12.6,0.1,2.36,48.53,20.7,29.8,11.6,1.0,2.23,36.67,16.01,28.1,8.6,31.5,2.41,60.49,17.96,27.3,9.1,1.0,3.01,47.21,0.6068001458185932,-0.7948544414133534,0,0,train,주의,0
강원,2016,22,6.0,21.34,30.5,13.9,0.0,2.21,48.59,22.09,30.5,12.6,0.1,2.36,48.53,20.7,29.8,11.6,1.0,2.23,36.67,16.01,28.1,8.6,31.5,2.41,60.49,0.5085311186492207,-0.8610436117673553,0,0,train,높음,1
강원,2016,23,0.0,21.56,30.3,15.8,2.7,1.59,70.93,21.34,30.5,13.9,0.0,2.21,48.59,22.09,30.5,12.6,0.1,2.36,48.53,20.7,29.8,11.6,1.0,2.23,36.67,0.4031234292879726,-0.9151456172430182,0,0,train,낮음,0
강원,2016,24,4.0,21.77,31.5,17.0,14.8,1.97,69.56,21.56,30.3,15.8,2.7,1.59,70.93,21.34,30.5,13.9,0.0,2.21,48.59,22.09,30.5,12.6,0.1,2.36,48.53,0.29205677063697594,-0.9564009842765224,0,0,train,높음,1
강원,2016,25,0.0,22.03,28.1,17.8,16.0,1.6,70.51,21.77,31.5,17.0,14.8,1.97,69.56,21.56,30.3,15.8,2.7,1.59,70.93,21.34,30.5,13.9,0.0,2.21,48.59,0.17689027512257316,-0.9842305779475968,0,0,train,낮음,0
강원,2016,26,2.0,23.51,30.8,17.8,73.8,1.74,69.07,22.03,28.1,17.8,16.0,1.6,70.51,21.77,31.5,17.0,14.8,1.97,69.56,21.56,30.3,15.8,2.7,1.59,70.93,0.05924062789371414,-0.9982437317643215,0,0,train,주의,0
강원,2016,27,3.0,22.19,31.8,17.5,185.5,1.19,78.36,23.51,30.8,17.8,73.8,1.74,69.07,22.03,28.1,17.8,16.0,1.6,70.51,21.77,31.5,17.0,14.8,1.97,69.56,-0.05924062789371389,-0.9982437317643215,0,0,train,주의,0
강원,2016,28,1.0,22.84,30.2,18.9,151.0,1.29,79.89,22.19,31.8,17.5,185.5,1.19,78.36,23.51,30.8,17.8,73.8,1.74,69.07,22.03,28.1,17.8,16.0,1.6,70.51,-0.1768902751225729,-0.9842305779475968,0,0,train,주의,0
강원,2016,29,0.0,22.74,27.7,19.1,1.5,1.36,77.59,22.84,30.2,18.9,151.0,1.29,79.89,22.19,31.8,17.5,185.5,1.19,78.36,23.51,30.8,17.8,73.8,1.74,69.07,-0.29205677063697566,-0.9564009842765224,0,0,train,낮음,0
강원,2016,30,1.0,28.53,35.1,21.9,19.6,1.93,63.33,22.74,27.7,19.1,1.5,1.36,77.59,22.84,30.2,18.9,151.0,1.29,79.89,22.19,31.8,17.5,185.5,1.19,78.36,-0.403123429287972,-0.9151456172430186,0,0,train,주의,0
강원,2016,31,1.0,26.9,33.4,21.3,5.0,1.6,69.9,28.53,35.1,21.9,19.6,1.93,63.33,22.74,27.7,19.1,1.5,1.36,77.59,22.84,30.2,18.9,151.0,1.29,79.89,-0.5085311186492202,-0.8610436117673557,0,0,train,주의,0
강원,2016,32,0.0,28.69,35.5,22.2,44.6,2.04,64.79,26.9,33.4,21.3,5.0,1.6,69.9,28.53,35.1,21.9,19.6,1.93,63.33,22.74,27.7,19.1,1.5,1.36,77.59,-0.6068001458185934,-0.7948544414133533,0,0,train,낮음,0
강원,2016,33,1.0,26.81,31.1,22.7,2.0,1.7,73.19,28.69,35.5,22.2,44.6,2.04,64.79,26.9,33.4,21.3,5.0,1.6,69.9,28.53,35.1,21.9,19.6,1.93,63.33,-0.6965510290629969,-0.7175072570443312,0,0,train,주의,0
강원,2016,34,0.0,23.46,34.7,15.1,176.0,2.13,70.2,26.81,31.1,22.7,2.0,1.7,73.19,28.69,35.5,22.2,44.6,2.04,64.79,26.9,33.4,21.3,5.0,1.6,69.9,-0.7765238627180425,-0.6300878435817109,0,0,train,낮음,0
강원,2016,35,0.0,20.89,30.9,15.2,88.0,2.17,74.43,23.46,34.7,15.1,176.0,2.13,70.2,26.81,31.1,22.7,2.0,1.7,73.19,28.69,35.5,22.2,44.6,2.04,64.79,-0.845596003501826,-0.533823377964791,0,0,train,낮음,0
강원,2016,36,1.0,22.17,29.3,18.4,26.0,1.57,78.29,20.89,30.9,15.2,88.0,2.17,74.43,23.46,34.7,15.1,176.0,2.13,70.2,26.81,31.1,22.7,2.0,1.7,73.19,-0.9027978299657435,-0.4300652022765204,0,0,train,주의,0
강원,2016,37,0.0,20.93,28.3,17.4,17.5,1.51,77.43,22.17,29.3,18.4,26.0,1.57,78.29,20.89,30.9,15.2,88.0,2.17,74.43,23.46,34.7,15.1,176.0,2.13,70.2,-0.9473263538541913,-0.32026985386283807,0,0,train,낮음,0
강원,2016,38,0.0,19.24,27.3,12.6,0.5,2.0,69.93,20.93,28.3,17.4,17.5,1.51,77.43,22.17,29.3,18.4,26.0,1.57,78.29,20.89,30.9,15.2,88.0,2.17,74.43,-0.9785564922995039,-0.2059786187410985,0,0,train,낮음,0
강원,2016,39,4.0,19.0,24.2,14.2,28.3,1.3,76.54,19.24,27.3,12.6,0.5,2.0,69.93,20.93,28.3,17.4,17.5,1.51,77.43,22.17,29.3,18.4,26.0,1.57,78.29,-0.9960498426152169,-0.08879589532293546,0,0,train,높음,1
강원,2016,40,2.0,17.27,24.4,9.9,31.9,1.7,72.67,19.0,24.2,14.2,28.3,1.3,76.54,19.24,27.3,12.6,0.5,2.0,69.93,20.93,28.3,17.4,17.5,1.51,77.43,-0.9995608365087943,0.02963332782255942,0,0,train,주의,0
강원,2016,41,2.0,16.23,26.2,10.0,0.3,2.14,57.3,17.27,24.4,9.9,31.9,1.7,72.67,19.0,24.2,14.2,28.3,1.3,76.54,19.24,27.3,12.6,0.5,2.0,69.93,-0.9890401873221641,0.14764656400248038,0,0,train,주의,0
강원,2016,42,3.0,16.19,24.2,8.3,22.4,1.79,69.73,16.23,26.2,10.0,0.3,2.14,57.3,17.27,24.4,9.9,31.9,1.7,72.67,19.0,24.2,14.2,28.3,1.3,76.54,-0.9646355819083585,0.263587166069068,1,0,train,주의,0
강원,2016,43,7.0,12.26,19.8,4.7,23.0,1.73,68.94,16.19,24.2,8.3,22.4,1.79,69.73,16.23,26.2,10.0,0.3,2.14,57.3,17.27,24.4,9.9,31.9,1.7,72.67,-0.9266896074318335,0.375827582114238,1,0,train,높음,1
강원,2016,44,1.0,10.47,20.7,2.0,28.0,2.66,49.96,12.26,19.8,4.7,23.0,1.73,68.94,16.19,24.2,8.3,22.4,1.79,69.73,16.23,26.2,10.0,0.3,2.14,57.3,-0.8757349421956372,0.48279220273074425,1,1,train,주의,0
강원,2016,45,14.0,10.06,19.7,1.5,0.0,1.87,58.83,10.47,20.7,2.0,28.0,2.66,49.96,12.26,19.8,4.7,23.0,1.73,68.94,16.19,24.2,8.3,22.4,1.79,69.73,-0.8124868780056815,0.5829794791144718,1,1,train,높음,1
강원,2016,46,16.0,12.27,22.1,4.2,0.5,2.3,52.11,10.06,19.7,1.5,0.0,1.87,58.83,10.47,20.7,2.0,28.0,2.66,49.96,12.26,19.8,4.7,23.0,1.73,68.94,-0.7378332790417279,0.6749830015182099,1,1,train,매우높음,1
강원,2016,47,13.0,5.13,12.4,-0.8,4.5,2.6,49.34,12.27,22.1,4.2,0.5,2.3,52.11,10.06,19.7,1.5,0.0,1.87,58.83,10.47,20.7,2.0,28.0,2.66,49.96,-0.6528221181905214,0.7575112421616204,1,1,train,높음,1
강원,2016,48,5.0,8.01,15.3,0.2,0.5,3.0,35.39,5.13,12.4,-0.8,4.5,2.6,49.34,12.27,22.1,4.2,0.5,2.3,52.11,10.06,19.7,1.5,0.0,1.87,58.83,-0.5586467658036526,0.8294056854502017,1,1,train,높음,1
강원,2016,49,3.0,4.8,13.1,-2.1,0.5,3.11,39.8,8.01,15.3,0.2,0.5,3.0,35.39,5.13,12.4,-0.8,4.5,2.6,49.34,12.27,22.1,4.2,0.5,2.3,52.11,-0.45662923739371375,0.889657090994747,1,0,train,주의,0
강원,2016,50,1.0,3.74,11.8,-5.6,22.5,2.64,51.34,4.8,13.1,-2.1,0.5,3.11,39.8,8.01,15.3,0.2,0.5,3.0,35.39,5.13,12.4,-0.8,4.5,2.6,49.34,-0.34820163543439914,0.9374196611341208,0,0,train,주의,0
강원,2016,51,1.0,6.0,15.5,-0.5,36.5,2.33,66.86,3.74,11.8,-5.6,22.5,2.64,51.34,4.8,13.1,-2.1,0.5,3.11,39.8,8.01,15.3,0.2,0.5,3.0,35.39,-0.23488604578098374,0.9720229140804107,0,0,train,주의,0
강원,2016,52,0.0,6.6,9.2,4.0,0.0,4.4,39.4,6.0,15.5,-0.5,36.5,2.33,66.86,3.74,11.8,-5.6,22.5,2.64,51.34,4.8,13.1,-2.1,0.5,3.11,39.8,-0.11827317092136551,0.992981096013517,0,0,train,낮음,0
강원,2016,53,1.0,2.42,9.8,-4.0,23.0,2.75,50.75,6.6,9.2,4.0,0.0,4.4,39.4,6.0,15.5,-0.5,36.5,2.33,66.86,3.74,11.8,-5.6,22.5,2.64,51.34,-2.4492935982947064e-16,1.0,0,0,train,주의,0
강원,2017,1,0.0,5.84,12.3,1.4,7.5,2.46,58.79,2.42,9.8,-4.0,23.0,2.75,50.75,6.6,9.2,4.0,0.0,4.4,39.4,6.0,15.5,-0.5,36.5,2.33,66.86,0.1182731709213658,0.9929810960135169,0,0,train,낮음,0
