지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
강원,2016,1,1.0,2.66,12.0,-2.2,0.0,3.7,28.21,4.47,13.8,-3.1,0.0,3.57,37.03,4.71,10.9,-2.2,0.5,2.54,50.5,4.59,11.1,-3.6,0.2,2.9,40.99
강원,2016,2,0.0,0.44,7.2,-4.1,0.4,2.71,39.2,2.66,12.0,-2.2,0.0,3.7,28.21,4.47,13.8,-3.1,0.0,3.57,37.03,4.71,10.9,-2.2,0.5,2.54,50.5
강원,2016,3,1.0,-4.87,4.5,-14.7,0.0,4.16,28.67,0.44,7.2,-4.1,0.4,2.71,39.2,2.66,12.0,-2.2,0.0,3.7,28.21,4.47,13.8,-3.1,0.0,3.57,37.03
강원,2016,4,0.0,0.34,6.5,-10.6,27.0,2.89,49.74,-4.87,4.5,-14.7,0.0,4.16,28.67,0.44,7.2,-4.1,0.4,2.71,39.2,2.66,12.0,-2.2,0.0,3.7,28.21
강원,2016,5,2.0,-0.04,8.0,-6.0,12.0,2.91,38.41,0.34,6.5,-10.6,27.0,2.89,49.74,-4.87,4.5,-14.7,0.0,4.16,28.67,0.44,7.2,-4.1,0.4,2.71,39.2
강원,2016,6,0.0,3.51,9.2,-2.7,16.5,2.24,61.9,-0.04,8.0,-6.0,12.0,2.91,38.41,0.34,6.5,-10.6,27.0,2.89,49.74,-4.87,4.5,-14.7,0.0,4.16,28.67
강원,2016,7,0.0,2.39,10.2,-5.5,0.0,3.41,34.41,3.51,9.2,-2.7,16.5,2.24,61.9,-0.04,8.0,-6.0,12.0,2.91,38.41,0.34,6.5,-10.6,27.0,2.89,49.74
강원,2016,8,2.0,2.31,9.7,-4.0,20.0,2.24,50.87,2.39,10.2,-5.5,0.0,3.41,34.41,3.51,9.2,-2.7,16.5,2.24,61.9,-0.04,8.0,-6.0,12.0,2.91,38.41
강원,2016,9,3.0,4.39,14.1,-5.3,6.5,2.77,59.01,2.31,9.7,-4.0,20.0,2.24,50.87,2.39,10.2,-5.5,0.0,3.41,34.41,3.51,9.2,-2.7,16.5,2.24,61.9
강원,2016,10,1.0,3.57,12.3,-2.7,10.3,2.0,52.04,4.39,14.1,-5.3,6.5,2.77,59.01,2.31,9.7,-4.0,20.0,2.24,50.87,2.39,10.2,-5.5,0.0,3.41,34.41
강원,2016,11,1.0,10.37,21.5,-1.2,2.0,2.36,42.63,3.57,12.3,-2.7,10.3,2.0,52.04,4.39,14.1,-5.3,6.5,2.77,59.01,2.31,9.7,-4.0,20.0,2.24,50.87
강원,2016,12,1.0,7.64,16.3,1.6,10.5,2.14,55.8,10.37,21.5,-1.2,2.0,2.36,42.63,3.57,12.3,-2.7,10.3,2.0,52.04,4.39,14.1,-5.3,6.5,2.77,59.01
강원,2016,13,0.0,13.7,22.3,7.9,1.0,2.56,43.2,7.64,16.3,1.6,10.5,2.14,55.8,10.37,21.5,-1.2,2.0,2.36,42.63,3.57,12.3,-2.7,10.3,2.0,52.04
강원,2016,14,0.0,14.39,23.5,5.5,26.0,2.74,49.21,13.7,22.3,7.9,1.0,2.56,43.2,7.64,16.3,1.6,10.5,2.14,55.8,10.37,21.5,-1.2,2.0,2.36,42.63
강원,2016,15,1.0,14.04,27.0,4.0,20.0,2.47,53.7,14.39,23.5,5.5,26.0,2.74,49.21,13.7,22.3,7.9,1.0,2.56,43.2,7.64,16.3,1.6,10.5,2.14,55.8
