지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
경남,2016,1,2.0,1.11,15.0,-6.9,0.0,0.69,61.03,0.77,14.5,-7.5,0.0,0.81,63.79,4.67,13.6,-4.7,3.1,0.89,63.31,2.84,12.6,-7.7,6.5,1.11,67.51
경남,2016,2,7.0,0.2,8.6,-7.7,1.4,0.84,56.69,1.11,15.0,-6.9,0.0,0.69,61.03,0.77,14.5,-7.5,0.0,0.81,63.79,4.67,13.6,-4.7,3.1,0.89,63.31
경남,2016,3,2.0,-3.03,5.6,-10.2,0.5,2.09,36.61,0.2,8.6,-7.7,1.4,0.84,56.69,1.11,15.0,-6.9,0.0,0.69,61.03,0.77,14.5,-7.5,0.0,0.81,63.79
경남,2016,4,4.0,-0.07,8.4,-12.8,33.5,1.01,66.31,-3.03,5.6,-10.2,0.5,2.09,36.61,0.2,8.6,-7.7,1.4,0.84,56.69,1.11,15.0,-6.9,0.0,0.69,61.03
경남,2016,5,1.0,-0.77,9.6,-9.3,0.0,0.97,49.36,-0.07,8.4,-12.8,33.5,1.01,66.31,-3.03,5.6,-10.2,0.5,2.09,36.61,0.2,8.6,-7.7,1.4,0.84,56.69
경남,2016,6,1.0,5.7,15.3,-8.6,72.7,1.47,58.63,-0.77,9.6,-9.3,0.0,0.97,49.36,-0.07,8.4,-12.8,33.5,1.01,66.31,-3.03,5.6,-10.2,0.5,2.09,36.61
경남,2016,7,0.0,2.26,13.7,-6.3,0.0,1.4,49.6,5.7,15.3,-8.6,72.7,1.47,58.63,-0.77,9.6,-9.3,0.0,0.97,49.36,-0.07,8.4,-12.8,33.5,1.01,66.31
경남,2016,8,1.0,3.84,14.2,-5.9,3.7,1.4,46.51,2.26,13.7,-6.3,0.0,1.4,49.6,5.7,15.3,-8.6,72.7,1.47,58.63,-0.77,9.6,-9.3,0.0,0.97,49.36
경남,2016,9,3.0,6.21,19.5,-7.7,80.5,1.33,65.26,3.84,14.2,-5.9,3.7,1.4,46.51,2.26,13.7,-6.3,0.0,1.4,49.6,5.7,15.3,-8.6,72.7,1.47,58.63
경남,2016,10,0.0,5.23,17.7,-5.4,10.1,1.31,50.26,6.21,19.5,-7.7,80.5,1.33,65.26,3.84,14.2,-5.9,3.7,1.4,46.51,2.26,13.7,-6.3,0.0,1.4,49.6
경남,2016,11,4.0,8.56,18.9,-3.3,27.6,1.04,62.44,5.23,17.7,-5.4,10.1,1.31,50.26,6.21,19.5,-7.7,80.5,1.33,65.26,3.84,14.2,-5.9,3.7,1.4,46.51
경남,2016,12,2.0,8.36,18.4,-0.4,2.8,1.26,57.89,8.56,18.9,-3.3,27.6,1.04,62.44,5.23,17.7,-5.4,10.1,1.31,50.26,6.21,19.5,-7.7,80.5,1.33,65.26
경남,2016,13,2.0,11.97,24.3,-1.5,37.8,1.16,62.59,8.36,18.4,-0.4,2.8,1.26,57.89,8.56,18.9,-3.3,27.6,1.04,62.44,5.23,17.7,-5.4,10.1,1.31,50.26
경남,2016,14,2.0,13.14,24.0,5.2,57.4,0.99,67.87,11.97,24.3,-1.5,37.8,1.16,62.59,8.36,18.4,-0.4,2.8,1.26,57.89,8.56,18.9,-3.3,27.6,1.04,62.44
경남,2016,15,1.0,13.51,25.8,4.3,122.2,1.56,64.91,13.14,24.0,5.2,57.4,0.99,67.87,11.97,24.3,-1.5,37.8,1.16,62.59,8.36,18.4,-0.4,2.8,1.26,57.89
경남,2016,16,1.0,14.6,24.5,5.5,33.2,1.2,59.91,13.51,25.8,4.3,122.2,1.56,64.91,13.14,24.0,5.2,57.4,0.99,67.87,11.97,24.3,-1.5,37.8,1.16,62.59
경남,2016,17,2.0,15.04,26.3,5.7,49.1,1.33,65.27,14.6,24.5,5.5,33.2,1.2,59.91,13.51,25.8,4.3,122.2,1.56,64.91,13.14,24.0,5.2,57.4,0.99,67.87
