지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
경북,2016,1,1.0,0.17,10.0,-7.1,0.0,2.31,46.66,-0.59,13.0,-11.4,0.5,1.27,61.0,1.43,9.5,-5.1,0.6,1.31,70.61,0.86,9.3,-10.5,4.0,1.59,68.41
경북,2016,2,1.0,-1.96,7.8,-12.0,1.7,1.54,55.34,0.17,10.0,-7.1,0.0,2.31,46.66,-0.59,13.0,-11.4,0.5,1.27,61.0,1.43,9.5,-5.1,0.6,1.31,70.61
경북,2016,3,0.0,-7.44,1.6,-15.7,0.0,3.17,43.44,-1.96,7.8,-12.0,1.7,1.54,55.34,0.17,10.0,-7.1,0.0,2.31,46.66,-0.59,13.0,-11.4,0.5,1.27,61.0
경북,2016,4,1.0,-1.51,6.0,-15.6,5.1,1.63,64.27,-7.44,1.6,-15.7,0.0,3.17,43.44,-1.96,7.8,-12.0,1.7,1.54,55.34,0.17,10.0,-7.1,0.0,2.31,46.66
경북,2016,5,2.0,-2.44,5.6,-13.0,0.0,1.84,43.13,-1.51,6.0,-15.6,5.1,1.63,64.27,-7.44,1.6,-15.7,0.0,3.17,43.44,-1.96,7.8,-12.0,1.7,1.54,55.34
경북,2016,6,0.0,4.0,18.1,-10.7,27.8,1.91,61.31,-2.44,5.6,-13.0,0.0,1.84,43.13,-1.51,6.0,-15.6,5.1,1.63,64.27,-7.44,1.6,-15.7,0.0,3.17,43.44
경북,2016,7,1.0,0.36,9.9,-7.1,0.0,2.39,48.94,4.0,18.1,-10.7,27.8,1.91,61.31,-2.44,5.6,-13.0,0.0,1.84,43.13,-1.51,6.0,-15.6,5.1,1.63,64.27
경북,2016,8,5.0,1.94,10.3,-6.8,5.0,1.93,52.87,0.36,9.9,-7.1,0.0,2.39,48.94,4.0,18.1,-10.7,27.8,1.91,61.31,-2.44,5.6,-13.0,0.0,1.84,43.13
경북,2016,9,1.0,4.69,17.3,-8.2,39.8,1.91,61.99,1.94,10.3,-6.8,5.0,1.93,52.87,0.36,9.9,-7.1,0.0,2.39,48.94,4.0,18.1,-10.7,27.8,1.91,61.31
경북,2016,10,1.0,3.99,16.3,-5.6,0.0,1.81,45.71,4.69,17.3,-8.2,39.8,1.91,61.99,1.94,10.3,-6.8,5.0,1.93,52.87,0.36,9.9,-7.1,0.0,2.39,48.94
