지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
광주,2016,1,0.0,3.17,11.4,-1.0,0.3,1.53,61.39,3.61,13.7,-3.1,2.5,1.17,70.2,5.17,14.5,-2.2,6.6,1.21,71.9,4.06,12.4,-3.5,14.5,1.29,79.96
광주,2016,2,1.0,2.07,10.0,-4.2,8.7,1.53,63.87,3.17,11.4,-1.0,0.3,1.53,61.39,3.61,13.7,-3.1,2.5,1.17,70.2,5.17,14.5,-2.2,6.6,1.21,71.9
광주,2016,3,0.0,-4.41,3.2,-11.7,19.1,2.21,67.33,2.07,10.0,-4.2,8.7,1.53,63.87,3.17,11.4,-1.0,0.3,1.53,61.39,3.61,13.7,-3.1,2.5,1.17,70.2
광주,2016,4,1.0,0.9,9.8,-11.2,21.6,1.19,79.89,-4.41,3.2,-11.7,19.1,2.21,67.33,2.07,10.0,-4.2,8.7,1.53,63.87,3.17,11.4,-1.0,0.3,1.53,61.39
광주,2016,5,0.0,-0.47,6.5,-5.9,0.0,1.59,55.94,0.9,9.8,-11.2,21.6,1.19,79.89,-4.41,3.2,-11.7,19.1,2.21,67.33,2.07,10.0,-4.2,8.7,1.53,63.87
광주,2016,6,0.0,7.33,19.8,-3.5,33.7,2.01,68.69,-0.47,6.5,-5.9,0.0,1.59,55.94,0.9,9.8,-11.2,21.6,1.19,79.89,-4.41,3.2,-11.7,19.1,2.21,67.33
광주,2016,7,0.0,2.99,11.8,-4.2,4.7,1.76,58.06,7.33,19.8,-3.5,33.7,2.01,68.69,-0.47,6.5,-5.9,0.0,1.59,55.94,0.9,9.8,-11.2,21.6,1.19,79.89
광주,2016,8,0.0,3.93,14.7,-3.3,4.0,1.64,55.84,2.99,11.8,-4.2,4.7,1.76,58.06,7.33,19.8,-3.5,33.7,2.01,68.69,-0.47,6.5,-5.9,0.0,1.59,55.94
광주,2016,9,0.0,7.47,18.5,-4.3,43.1,1.81,72.87,3.93,14.7,-3.3,4.0,1.64,55.84,2.99,11.8,-4.2,4.7,1.76,58.06,7.33,19.8,-3.5,33.7,2.01,68.69
광주,2016,10,0.0,4.77,18.6,-2.5,5.2,1.89,51.63,7.47,18.5,-4.3,43.1,1.81,72.87,3.93,14.7,-3.3,4.0,1.64,55.84,2.99,11.8,-4.2,4.7,1.76,58.06
광주,2016,11,0.0,9.56,19.4,-0.5,9.7,1.59,63.47,4.77,18.6,-2.5,5.2,1.89,51.63,7.47,18.5,-4.3,43.1,1.81,72.87,3.93,14.7,-3.3,4.0,1.64,55.84
광주,2016,12,0.0,7.77,18.4,1.0,0.0,1.37,55.84,9.56,19.4,-0.5,9.7,1.59,63.47,4.77,18.6,-2.5,5.2,1.89,51.63,7.47,18.5,-4.3,43.1,1.81,72.87
광주,2016,13,1.0,14.09,25.5,1.0,2.6,1.74,55.77,7.77,18.4,1.0,0.0,1.37,55.84,9.56,19.4,-0.5,9.7,1.59,63.47,4.77,18.6,-2.5,5.2,1.89,51.63
광주,2016,14,0.0,14.44,25.2,7.1,44.9,1.53,62.89,14.09,25.5,1.0,2.6,1.74,55.77,7.77,18.4,1.0,0.0,1.37,55.84,9.56,19.4,-0.5,9.7,1.59,63.47
광주,2016,15,1.0,15.43,25.2,7.2,46.3,2.19,70.63,14.44,25.2,7.1,44.9,1.53,62.89,14.09,25.5,1.0,2.6,1.74,55.77,7.77,18.4,1.0,0.0,1.37,55.84
광주,2016,16,0.0,15.86,25.2,8.5,27.3,1.83,63.4,15.43,25.2,7.2,46.3,2.19,70.63,14.44,25.2,7.1,44.9,1.53,62.89,14.09,25.5,1.0,2.6,1.74,55.77
광주,2016,17,1.0,16.67,27.4,9.8,63.9,1.84,65.73,15.86,25.2,8.5,27.3,1.83,63.4,15.43,25.2,7.2,46.3,2.19,70.63,14.44,25.2,7.1,44.9,1.53,62.89
광주,2016,18,1.0,17.99,26.9,10.4,36.8,2.79,66.03,16.67,27.4,9.8,63.9,1.84,65.73,15.86,25.2,8.5,27.3,1.83,63.4,15.43,25.2,7.2,46.3,2.19,70.63
광주,2016,19,1.0,17.93,26.4,12.6,36.8,1.81,76.11,17.99,26.9,10.4,36.8,2.79,66.03,16.67,27.4,9.8,63.9,1.84,65.73,15.86,25.2,8.5,27.3,1.83,63.4
광주,2016,20,0.0,21.37,31.1,10.0,5.3,1.33,52.69,17.93,26.4,12.6,36.8,1.81,76.11,17.99,26.9,10.4,36.8,2.79,66.03,16.67,27.4,9.8,63.9,1.84,65.73
광주,2016,21,1.0,21.4,29.6,13.9,25.6,1.43,68.67,21.37,31.1,10.0,5.3,1.33,52.69,17.93,26.4,12.6,36.8,1.81,76.11,17.99,26.9,10.4,36.8,2.79,66.03
광주,2016,22,2.0,21.57,29.9,14.7,17.7,1.46,69.17,21.4,29.6,13.9,25.6,1.43,68.67,21.37,31.1,10.0,5.3,1.33,52.69,17.93,26.4,12.6,36.8,1.81,76.11
광주,2016,23,4.0,22.79,29.7,18.7,4.1,1.29,81.11,21.57,29.9,14.7,17.7,1.46,69.17,21.4,29.6,13.9,25.6,1.43,68.67,21.37,31.1,10.0,5.3,1.33,52.69
광주,2016,24,1.0,23.59,31.5,17.7,2.7,1.8,77.11,22.79,29.7,18.7,4.1,1.29,81.11,21.57,29.9,14.7,17.7,1.46,69.17,21.4,29.6,13.9,25.6,1.43,68.67
광주,2016,25,3.0,23.69,30.9,19.2,91.6,1.69,85.43,23.59,31.5,17.7,2.7,1.8,77.11,22.79,29.7,18.7,4.1,1.29,81.11,21.57,29.9,14.7,17.7,1.46,69.17
광주,2016,26,1.0,23.23,29.6,19.3,186.1,1.86,88.61,23.69,30.9,19.2,91.6,1.69,85.43,23.59,31.5,17.7,2.7,1.8,77.11,22.79,29.7,18.7,4.1,1.29,81.11
광주,2016,27,3.0,26.79,33.8,21.9,76.4,1.94,90.04,23.23,29.6,19.3,186.1,1.86,88.61,23.69,30.9,19.2,91.6,1.69,85.43,23.59,31.5,17.7,2.7,1.8,77.11
광주,2016,28,0.0,25.33,31.2,21.7,37.3,1.51,86.61,26.79,33.8,21.9,76.4,1.94,90.04,23.23,29.6,19.3,186.1,1.86,88.61,23.69,30.9,19.2,91.6,1.69,85.43
광주,2016,29,1.0,27.33,34.2,20.1,0.0,1.89,76.36,25.33,31.2,21.7,37.3,1.51,86.61,26.79,33.8,21.9,76.4,1.94,90.04,23.23,29.6,19.3,186.1,1.86,88.61
광주,2016,30,4.0,29.86,36.0,26.0,1.5,2.04,78.57,27.33,34.2,20.1,0.0,1.89,76.36,25.33,31.2,21.7,37.3,1.51,86.61,26.79,33.8,21.9,76.4,1.94,90.04
광주,2016,31,0.0,28.6,35.7,23.8,13.3,1.11,81.33,29.86,36.0,26.0,1.5,2.04,78.57,27.33,34.2,20.1,0.0,1.89,76.36,25.33,31.2,21.7,37.3,1.51,86.61
광주,2016,32,0.0,29.39,37.2,24.2,18.6,1.07,80.39,28.6,35.7,23.8,13.3,1.11,81.33,29.86,36.0,26.0,1.5,2.04,78.57,27.33,34.2,20.1,0.0,1.89,76.36
광주,2016,33,0.0,29.17,35.9,24.1,6.2,1.13,78.03,29.39,37.2,24.2,18.6,1.07,80.39,28.6,35.7,23.8,13.3,1.11,81.33,29.86,36.0,26.0,1.5,2.04,78.57
광주,2016,34,0.0,26.01,35.7,16.7,42.2,1.6,80.56,29.17,35.9,24.1,6.2,1.13,78.03,29.39,37.2,24.2,18.6,1.07,80.39,28.6,35.7,23.8,13.3,1.11,81.33
광주,2016,35,1.0,24.29,33.0,16.6,7.4,2.41,75.47,26.01,35.7,16.7,42.2,1.6,80.56,29.17,35.9,24.1,6.2,1.13,78.03,29.39,37.2,24.2,18.6,1.07,80.39
광주,2016,36,0.0,24.0,31.1,18.8,34.6,1.06,83.5,24.29,33.0,16.6,7.4,2.41,75.47,26.01,35.7,16.7,42.2,1.6,80.56,29.17,35.9,24.1,6.2,1.13,78.03
광주,2016,37,1.0,22.74,30.5,18.1,155.6,1.84,88.9,24.0,31.1,18.8,34.6,1.06,83.5,24.29,33.0,16.6,7.4,2.41,75.47,26.01,35.7,16.7,42.2,1.6,80.56
광주,2016,38,2.0,21.67,27.9,15.6,0.0,1.6,70.16,22.74,30.5,18.1,155.6,1.84,88.9,24.0,31.1,18.8,34.6,1.06,83.5,24.29,33.0,16.6,7.4,2.41,75.47
