지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
대전,2016,1,3.0,0.87,9.6,-5.6,0.0,1.36,59.54,1.9,14.1,-7.6,1.6,1.07,73.97,2.81,11.0,-5.7,3.3,1.14,73.73,1.97,8.9,-6.7,13.4,1.14,79.96
대전,2016,2,0.0,-0.6,8.2,-7.5,4.0,1.09,68.09,0.87,9.6,-5.6,0.0,1.36,59.54,1.9,14.1,-7.6,1.6,1.07,73.97,2.81,11.0,-5.7,3.3,1.14,73.73
대전,2016,3,0.0,-7.4,1.6,-17.0,5.4,1.87,66.9,-0.6,8.2,-7.5,4.0,1.09,68.09,0.87,9.6,-5.6,0.0,1.36,59.54,1.9,14.1,-7.6,1.6,1.07,73.97
대전,2016,4,1.0,-0.76,10.0,-14.2,2.2,1.1,74.67,-7.4,1.6,-17.0,5.4,1.87,66.9,-0.6,8.2,-7.5,4.0,1.09,68.09,0.87,9.6,-5.6,0.0,1.36,59.54
대전,2016,5,0.0,-2.11,5.9,-9.7,0.0,1.41,54.73,-0.76,10.0,-14.2,2.2,1.1,74.67,-7.4,1.6,-17.0,5.4,1.87,66.9,-0.6,8.2,-7.5,4.0,1.09,68.09
대전,2016,6,1.0,5.4,18.7,-5.7,25.5,1.9,66.09,-2.11,5.9,-9.7,0.0,1.41,54.73,-0.76,10.0,-14.2,2.2,1.1,74.67,-7.4,1.6,-17.0,5.4,1.87,66.9
대전,2016,7,0.0,1.09,9.8,-6.7,0.6,1.79,60.56,5.4,18.7,-5.7,25.5,1.9,66.09,-2.11,5.9,-9.7,0.0,1.41,54.73,-0.76,10.0,-14.2,2.2,1.1,74.67
대전,2016,8,0.0,2.04,11.3,-6.5,19.3,1.34,64.64,1.09,9.8,-6.7,0.6,1.79,60.56,5.4,18.7,-5.7,25.5,1.9,66.09,-2.11,5.9,-9.7,0.0,1.41,54.73
대전,2016,9,0.0,5.51,18.0,-7.5,35.1,1.63,73.01,2.04,11.3,-6.5,19.3,1.34,64.64,1.09,9.8,-6.7,0.6,1.79,60.56,5.4,18.7,-5.7,25.5,1.9,66.09
대전,2016,10,0.0,3.43,16.3,-5.0,0.0,1.54,50.56,5.51,18.0,-7.5,35.1,1.63,73.01,2.04,11.3,-6.5,19.3,1.34,64.64,1.09,9.8,-6.7,0.6,1.79,60.56
대전,2016,11,0.0,8.77,18.9,-2.7,5.6,1.16,60.51,3.43,16.3,-5.0,0.0,1.54,50.56,5.51,18.0,-7.5,35.1,1.63,73.01,2.04,11.3,-6.5,19.3,1.34,64.64
대전,2016,12,0.0,7.79,17.6,-0.3,0.0,1.56,52.9,8.77,18.9,-2.7,5.6,1.16,60.51,3.43,16.3,-5.0,0.0,1.54,50.56,5.51,18.0,-7.5,35.1,1.63,73.01
대전,2016,13,0.0,13.46,25.4,-0.3,2.5,1.51,48.76,7.79,17.6,-0.3,0.0,1.56,52.9,8.77,18.9,-2.7,5.6,1.16,60.51,3.43,16.3,-5.0,0.0,1.54,50.56
대전,2016,14,0.0,14.3,24.6,5.5,24.5,1.79,61.39,13.46,25.4,-0.3,2.5,1.51,48.76,7.79,17.6,-0.3,0.0,1.56,52.9,8.77,18.9,-2.7,5.6,1.16,60.51
대전,2016,15,0.0,14.34,24.8,6.7,71.7,2.03,66.99,14.3,24.6,5.5,24.5,1.79,61.39,13.46,25.4,-0.3,2.5,1.51,48.76,7.79,17.6,-0.3,0.0,1.56,52.9
대전,2016,16,1.0,14.3,24.5,6.4,40.1,1.39,67.97,14.34,24.8,6.7,71.7,2.03,66.99,14.3,24.6,5.5,24.5,1.79,61.39,13.46,25.4,-0.3,2.5,1.51,48.76
대전,2016,17,0.0,16.71,29.2,8.5,16.1,1.89,58.33,14.3,24.5,6.4,40.1,1.39,67.97,14.34,24.8,6.7,71.7,2.03,66.99,14.3,24.6,5.5,24.5,1.79,61.39
대전,2016,18,0.0,18.21,29.0,9.2,26.1,2.06,62.57,16.71,29.2,8.5,16.1,1.89,58.33,14.3,24.5,6.4,40.1,1.39,67.97,14.34,24.8,6.7,71.7,2.03,66.99
대전,2016,19,0.0,18.21,26.6,11.7,36.9,1.73,69.79,18.21,29.0,9.2,26.1,2.06,62.57,16.71,29.2,8.5,16.1,1.89,58.33,14.3,24.5,6.4,40.1,1.39,67.97
대전,2016,20,4.0,21.17,31.3,10.0,5.2,1.8,49.79,18.21,26.6,11.7,36.9,1.73,69.79,18.21,29.0,9.2,26.1,2.06,62.57,16.71,29.2,8.5,16.1,1.89,58.33
대전,2016,21,2.0,21.13,30.4,12.4,16.9,1.29,65.41,21.17,31.3,10.0,5.2,1.8,49.79,18.21,26.6,11.7,36.9,1.73,69.79,18.21,29.0,9.2,26.1,2.06,62.57
대전,2016,22,4.0,22.13,30.3,14.4,0.4,1.61,62.5,21.13,30.4,12.4,16.9,1.29,65.41,21.17,31.3,10.0,5.2,1.8,49.79,18.21,26.6,11.7,36.9,1.73,69.79
