지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
부산,2016,1,2.0,5.07,15.2,-0.5,0.2,2.71,43.61,5.59,16.6,-2.0,0.0,3.23,48.56,8.5,16.4,1.3,4.0,3.0,55.99,6.37,13.9,-2.5,2.5,3.03,58.74
부산,2016,2,3.0,3.99,10.6,-2.2,14.2,2.74,46.37,5.07,15.2,-0.5,0.2,2.71,43.61,5.59,16.6,-2.0,0.0,3.23,48.56,8.5,16.4,1.3,4.0,3.0,55.99
부산,2016,3,1.0,-1.99,6.9,-10.2,0.0,4.99,37.36,3.99,10.6,-2.2,14.2,2.74,46.37,5.07,15.2,-0.5,0.2,2.71,43.61,5.59,16.6,-2.0,0.0,3.23,48.56
부산,2016,4,0.0,3.2,9.2,-8.2,45.1,3.63,64.24,-1.99,6.9,-10.2,0.0,4.99,37.36,3.99,10.6,-2.2,14.2,2.74,46.37,5.07,15.2,-0.5,0.2,2.71,43.61
부산,2016,5,2.0,2.54,10.1,-4.0,0.0,3.69,36.31,3.2,9.2,-8.2,45.1,3.63,64.24,-1.99,6.9,-10.2,0.0,4.99,37.36,3.99,10.6,-2.2,14.2,2.74,46.37
부산,2016,6,1.0,8.56,15.8,-1.2,61.6,3.44,60.63,2.54,10.1,-4.0,0.0,3.69,36.31,3.2,9.2,-8.2,45.1,3.63,64.24,-1.99,6.9,-10.2,0.0,4.99,37.36
부산,2016,7,1.0,4.56,14.8,-3.5,1.4,3.96,46.33,8.56,15.8,-1.2,61.6,3.44,60.63,2.54,10.1,-4.0,0.0,3.69,36.31,3.2,9.2,-8.2,45.1,3.63,64.24
부산,2016,8,3.0,6.77,15.6,-2.1,0.7,3.6,48.93,4.56,14.8,-3.5,1.4,3.96,46.33,8.56,15.8,-1.2,61.6,3.44,60.63,2.54,10.1,-4.0,0.0,3.69,36.31
부산,2016,9,1.0,8.39,17.2,-4.3,70.0,3.66,66.64,6.77,15.6,-2.1,0.7,3.6,48.93,4.56,14.8,-3.5,1.4,3.96,46.33,8.56,15.8,-1.2,61.6,3.44,60.63
부산,2016,10,0.0,7.1,16.2,-0.8,20.2,3.09,52.19,8.39,17.2,-4.3,70.0,3.66,66.64,6.77,15.6,-2.1,0.7,3.6,48.93,4.56,14.8,-3.5,1.4,3.96,46.33
부산,2016,11,2.0,10.9,19.4,3.2,38.7,2.99,62.29,7.1,16.2,-0.8,20.2,3.09,52.19,8.39,17.2,-4.3,70.0,3.66,66.64,6.77,15.6,-2.1,0.7,3.6,48.93
부산,2016,12,1.0,9.59,16.8,4.3,4.6,2.99,62.77,10.9,19.4,3.2,38.7,2.99,62.29,7.1,16.2,-0.8,20.2,3.09,52.19,8.39,17.2,-4.3,70.0,3.66,66.64
부산,2016,13,0.0,14.33,22.0,6.7,0.9,3.37,65.27,9.59,16.8,4.3,4.6,2.99,62.77,10.9,19.4,3.2,38.7,2.99,62.29,7.1,16.2,-0.8,20.2,3.09,52.19
부산,2016,14,2.0,14.69,22.6,10.5,69.4,2.86,67.94,14.33,22.0,6.7,0.9,3.37,65.27,9.59,16.8,4.3,4.6,2.99,62.77,10.9,19.4,3.2,38.7,2.99,62.29
부산,2016,15,0.0,14.44,21.4,8.0,59.4,3.47,67.73,14.69,22.6,10.5,69.4,2.86,67.94,14.33,22.0,6.7,0.9,3.37,65.27,9.59,16.8,4.3,4.6,2.99,62.77
부산,2016,16,0.0,15.87,22.9,11.2,31.8,3.26,61.11,14.44,21.4,8.0,59.4,3.47,67.73,14.69,22.6,10.5,69.4,2.86,67.94,14.33,22.0,6.7,0.9,3.37,65.27
