지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
전남,2016,1,5.0,3.6,9.9,-2.4,0.3,3.53,67.4,4.8,13.2,-1.4,6.1,2.21,76.01,5.8,12.5,0.7,10.4,3.5,76.04,5.39,13.3,-0.5,13.6,3.41,77.31
전남,2016,2,5.0,2.77,9.4,-2.8,7.2,3.43,65.1,3.6,9.9,-2.4,0.3,3.53,67.4,4.8,13.2,-1.4,6.1,2.21,76.01,5.8,12.5,0.7,10.4,3.5,76.04
전남,2016,3,1.0,-2.93,2.1,-9.1,33.2,5.76,76.84,2.77,9.4,-2.8,7.2,3.43,65.1,3.6,9.9,-2.4,0.3,3.53,67.4,4.8,13.2,-1.4,6.1,2.21,76.01
전남,2016,4,8.0,1.59,7.3,-5.3,38.5,2.79,79.49,-2.93,2.1,-9.1,33.2,5.76,76.84,2.77,9.4,-2.8,7.2,3.43,65.1,3.6,9.9,-2.4,0.3,3.53,67.4
전남,2016,5,1.0,0.16,7.2,-5.2,0.7,3.53,70.34,1.59,7.3,-5.3,38.5,2.79,79.49,-2.93,2.1,-9.1,33.2,5.76,76.84,2.77,9.4,-2.8,7.2,3.43,65.1
전남,2016,6,2.0,7.67,18.7,-2.0,36.9,4.4,71.6,0.16,7.2,-5.2,0.7,3.53,70.34,1.59,7.3,-5.3,38.5,2.79,79.49,-2.93,2.1,-9.1,33.2,5.76,76.84
전남,2016,7,0.0,3.14,11.0,-3.1,1.6,4.59,66.11,7.67,18.7,-2.0,36.9,4.4,71.6,0.16,7.2,-5.2,0.7,3.53,70.34,1.59,7.3,-5.3,38.5,2.79,79.49
전남,2016,8,1.0,4.23,14.7,-2.6,1.2,3.77,65.79,3.14,11.0,-3.1,1.6,4.59,66.11,7.67,18.7,-2.0,36.9,4.4,71.6,0.16,7.2,-5.2,0.7,3.53,70.34
전남,2016,9,4.0,7.46,18.4,-2.0,28.4,4.29,75.87,4.23,14.7,-2.6,1.2,3.77,65.79,3.14,11.0,-3.1,1.6,4.59,66.11,7.67,18.7,-2.0,36.9,4.4,71.6
전남,2016,10,2.0,4.06,16.4,-2.5,14.9,4.29,63.94,7.46,18.4,-2.0,28.4,4.29,75.87,4.23,14.7,-2.6,1.2,3.77,65.79,3.14,11.0,-3.1,1.6,4.59,66.11
