지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
전북,2016,1,2.0,2.23,9.6,-3.2,0.0,1.76,63.24,3.24,14.0,-4.8,5.3,1.49,72.49,4.04,11.5,-4.1,7.3,1.57,74.87,3.36,9.5,-4.8,15.0,1.6,79.66
전북,2016,2,4.0,0.77,8.9,-5.8,10.6,1.54,70.8,2.23,9.6,-3.2,0.0,1.76,63.24,3.24,14.0,-4.8,5.3,1.49,72.49,4.04,11.5,-4.1,7.3,1.57,74.87
전북,2016,3,2.0,-6.23,2.5,-13.0,7.9,2.13,70.94,0.77,8.9,-5.8,10.6,1.54,70.8,2.23,9.6,-3.2,0.0,1.76,63.24,3.24,14.0,-4.8,5.3,1.49,72.49
전북,2016,4,1.0,-0.31,5.3,-12.8,6.7,1.19,79.1,-6.23,2.5,-13.0,7.9,2.13,70.94,0.77,8.9,-5.8,10.6,1.54,70.8,2.23,9.6,-3.2,0.0,1.76,63.24
전북,2016,5,3.0,-1.59,4.8,-7.9,0.0,1.93,62.13,-0.31,5.3,-12.8,6.7,1.19,79.1,-6.23,2.5,-13.0,7.9,2.13,70.94,0.77,8.9,-5.8,10.6,1.54,70.8
전북,2016,6,1.0,7.29,21.9,-3.7,17.7,3.01,65.71,-1.59,4.8,-7.9,0.0,1.93,62.13,-0.31,5.3,-12.8,6.7,1.19,79.1,-6.23,2.5,-13.0,7.9,2.13,70.94
전북,2016,7,0.0,2.01,10.9,-6.0,2.3,2.29,62.13,7.29,21.9,-3.7,17.7,3.01,65.71,-1.59,4.8,-7.9,0.0,1.93,62.13,-0.31,5.3,-12.8,6.7,1.19,79.1
전북,2016,8,0.0,2.87,13.4,-5.8,11.5,1.94,64.36,2.01,10.9,-6.0,2.3,2.29,62.13,7.29,21.9,-3.7,17.7,3.01,65.71,-1.59,4.8,-7.9,0.0,1.93,62.13
전북,2016,9,0.0,6.6,19.4,-6.1,58.4,2.23,73.74,2.87,13.4,-5.8,11.5,1.94,64.36,2.01,10.9,-6.0,2.3,2.29,62.13,7.29,21.9,-3.7,17.7,3.01,65.71
전북,2016,10,0.0,4.16,17.3,-3.8,0.0,2.23,53.07,6.6,19.4,-6.1,58.4,2.23,73.74,2.87,13.4,-5.8,11.5,1.94,64.36,2.01,10.9,-6.0,2.3,2.29,62.13
전북,2016,11,0.0,8.46,18.9,-1.5,8.7,1.53,66.06,4.16,17.3,-3.8,0.0,2.23,53.07,6.6,19.4,-6.1,58.4,2.23,73.74,2.87,13.4,-5.8,11.5,1.94,64.36
전북,2016,12,0.0,7.1,16.2,0.6,0.0,1.93,61.5,8.46,18.9,-1.5,8.7,1.53,66.06,4.16,17.3,-3.8,0.0,2.23,53.07,6.6,19.4,-6.1,58.4,2.23,73.74
전북,2016,13,0.0,13.57,24.0,1.3,1.8,1.74,52.09,7.1,16.2,0.6,0.0,1.93,61.5,8.46,18.9,-1.5,8.7,1.53,66.06,4.16,17.3,-3.8,0.0,2.23,53.07
전북,2016,14,0.0,13.01,24.0,5.2,50.6,1.71,68.6,13.57,24.0,1.3,1.8,1.74,52.09,7.1,16.2,0.6,0.0,1.93,61.5,8.46,18.9,-1.5,8.7,1.53,66.06
전북,2016,15,0.0,14.53,25.3,8.5,34.6,2.43,76.2,13.01,24.0,5.2,50.6,1.71,68.6,13.57,24.0,1.3,1.8,1.74,52.09,7.1,16.2,0.6,0.0,1.93,61.5
전북,2016,16,1.0,15.31,25.8,8.1,30.9,1.8,65.84,14.53,25.3,8.5,34.6,2.43,76.2,13.01,24.0,5.2,50.6,1.71,68.6,13.57,24.0,1.3,1.8,1.74,52.09
전북,2016,17,1.0,16.44,27.7,8.6,26.3,1.74,66.54,15.31,25.8,8.1,30.9,1.8,65.84,14.53,25.3,8.5,34.6,2.43,76.2,13.01,24.0,5.2,50.6,1.71,68.6
전북,2016,18,3.0,17.83,28.0,9.7,20.8,3.23,67.13,16.44,27.7,8.6,26.3,1.74,66.54,15.31,25.8,8.1,30.9,1.8,65.84,14.53,25.3,8.5,34.6,2.43,76.2
전북,2016,19,1.0,17.41,26.3,12.1,31.2,1.8,76.04,17.83,28.0,9.7,20.8,3.23,67.13,16.44,27.7,8.6,26.3,1.74,66.54,15.31,25.8,8.1,30.9,1.8,65.84
전북,2016,20,6.0,20.63,30.1,9.6,8.1,1.77,55.83,17.41,26.3,12.1,31.2,1.8,76.04,17.83,28.0,9.7,20.8,3.23,67.13,16.44,27.7,8.6,26.3,1.74,66.54
전북,2016,21,7.0,20.47,29.6,13.1,24.2,1.59,69.31,20.63,30.1,9.6,8.1,1.77,55.83,17.41,26.3,12.1,31.2,1.8,76.04,17.83,28.0,9.7,20.8,3.23,67.13
전북,2016,22,2.0,21.36,30.2,14.1,1.3,1.57,71.61,20.47,29.6,13.1,24.2,1.59,69.31,20.63,30.1,9.6,8.1,1.77,55.83,17.41,26.3,12.1,31.2,1.8,76.04
전북,2016,23,2.0,22.54,30.0,18.0,16.3,1.33,80.09,21.36,30.2,14.1,1.3,1.57,71.61,20.47,29.6,13.1,24.2,1.59,69.31,20.63,30.1,9.6,8.1,1.77,55.83
전북,2016,24,3.0,22.84,31.3,17.3,1.4,1.74,79.2,22.54,30.0,18.0,16.3,1.33,80.09,21.36,30.2,14.1,1.3,1.57,71.61,20.47,29.6,13.1,24.2,1.59,69.31
전북,2016,25,4.0,23.44,30.1,19.2,38.2,1.8,84.0,22.84,31.3,17.3,1.4,1.74,79.2,22.54,30.0,18.0,16.3,1.33,80.09,21.36,30.2,14.1,1.3,1.57,71.61
전북,2016,26,1.0,23.46,30.5,18.4,161.5,1.61,86.23,23.44,30.1,19.2,38.2,1.8,84.0,22.84,31.3,17.3,1.4,1.74,79.2,22.54,30.0,18.0,16.3,1.33,80.09
전북,2016,27,1.0,25.83,32.5,20.9,99.7,1.59,87.39,23.46,30.5,18.4,161.5,1.61,86.23,23.44,30.1,19.2,38.2,1.8,84.0,22.84,31.3,17.3,1.4,1.74,79.2
전북,2016,28,2.0,24.93,30.8,21.6,20.9,1.8,85.01,25.83,32.5,20.9,99.7,1.59,87.39,23.46,30.5,18.4,161.5,1.61,86.23,23.44,30.1,19.2,38.2,1.8,84.0
전북,2016,29,0.0,27.59,34.0,20.4,2.9,1.57,75.29,24.93,30.8,21.6,20.9,1.8,85.01,25.83,32.5,20.9,99.7,1.59,87.39,23.46,30.5,18.4,161.5,1.61,86.23
전북,2016,30,1.0,29.0,34.5,24.8,5.4,1.83,77.73,27.59,34.0,20.4,2.9,1.57,75.29,24.93,30.8,21.6,20.9,1.8,85.01,25.83,32.5,20.9,99.7,1.59,87.39
전북,2016,31,1.0,28.21,34.6,22.7,23.7,1.46,80.26,29.0,34.5,24.8,5.4,1.83,77.73,27.59,34.0,20.4,2.9,1.57,75.29,24.93,30.8,21.6,20.9,1.8,85.01
전북,2016,32,0.0,29.19,35.3,24.3,0.0,1.53,76.99,28.21,34.6,22.7,23.7,1.46,80.26,29.0,34.5,24.8,5.4,1.83,77.73,27.59,34.0,20.4,2.9,1.57,75.29
전북,2016,33,1.0,28.77,36.2,23.9,2.7,1.5,73.64,29.19,35.3,24.3,0.0,1.53,76.99,28.21,34.6,22.7,23.7,1.46,80.26,29.0,34.5,24.8,5.4,1.83,77.73
전북,2016,34,0.0,25.8,35.1,17.8,7.0,1.53,76.39,28.77,36.2,23.9,2.7,1.5,73.64,29.19,35.3,24.3,0.0,1.53,76.99,28.21,34.6,22.7,23.7,1.46,80.26
전북,2016,35,1.0,23.77,32.5,16.2,2.7,2.89,72.9,25.8,35.1,17.8,7.0,1.53,76.39,28.77,36.2,23.9,2.7,1.5,73.64,29.19,35.3,24.3,0.0,1.53,76.99
전북,2016,36,1.0,23.64,30.3,18.5,2.8,1.37,78.56,23.77,32.5,16.2,2.7,2.89,72.9,25.8,35.1,17.8,7.0,1.53,76.39,28.77,36.2,23.9,2.7,1.5,73.64
