지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
제주,2016,1,3.0,7.94,12.9,4.4,6.3,3.46,60.54,9.11,16.8,4.7,0.3,3.03,60.6,10.24,16.9,4.5,14.5,3.26,69.86,8.76,15.8,2.3,10.9,4.29,67.19
제주,2016,2,0.0,6.5,11.1,2.5,33.6,3.9,61.66,7.94,12.9,4.4,6.3,3.46,60.54,9.11,16.8,4.7,0.3,3.03,60.6,10.24,16.9,4.5,14.5,3.26,69.86
제주,2016,3,0.0,1.46,8.9,-5.8,20.6,6.76,67.63,6.5,11.1,2.5,33.6,3.9,61.66,7.94,12.9,4.4,6.3,3.46,60.54,9.11,16.8,4.7,0.3,3.03,60.6
제주,2016,4,1.0,6.33,11.5,-1.1,65.1,3.89,75.5,1.46,8.9,-5.8,20.6,6.76,67.63,6.5,11.1,2.5,33.6,3.9,61.66,7.94,12.9,4.4,6.3,3.46,60.54
제주,2016,5,0.0,4.53,9.4,1.6,0.2,4.23,58.4,6.33,11.5,-1.1,65.1,3.89,75.5,1.46,8.9,-5.8,20.6,6.76,67.63,6.5,11.1,2.5,33.6,3.9,61.66
제주,2016,6,0.0,11.13,20.5,2.4,33.2,3.9,64.39,4.53,9.4,1.6,0.2,4.23,58.4,6.33,11.5,-1.1,65.1,3.89,75.5,1.46,8.9,-5.8,20.6,6.76,67.63
제주,2016,7,0.0,6.57,13.9,-0.4,0.3,4.71,57.2,11.13,20.5,2.4,33.2,3.9,64.39,4.53,9.4,1.6,0.2,4.23,58.4,6.33,11.5,-1.1,65.1,3.89,75.5
제주,2016,8,0.0,7.6,19.5,2.1,5.8,3.71,59.04,6.57,13.9,-0.4,0.3,4.71,57.2,11.13,20.5,2.4,33.2,3.9,64.39,4.53,9.4,1.6,0.2,4.23,58.4
제주,2016,9,2.0,10.59,22.5,0.4,41.4,3.24,65.07,7.6,19.5,2.1,5.8,3.71,59.04,6.57,13.9,-0.4,0.3,4.71,57.2,11.13,20.5,2.4,33.2,3.9,64.39
제주,2016,10,0.0,7.76,18.6,2.9,51.7,3.83,63.6,10.59,22.5,0.4,41.4,3.24,65.07,7.6,19.5,2.1,5.8,3.71,59.04,6.57,13.9,-0.4,0.3,4.71,57.2
제주,2016,11,1.0,11.67,21.3,3.7,4.2,2.6,67.84,7.76,18.6,2.9,51.7,3.83,63.6,10.59,22.5,0.4,41.4,3.24,65.07,7.6,19.5,2.1,5.8,3.71,59.04
제주,2016,12,0.0,10.04,15.5,6.6,0.0,3.2,56.33,11.67,21.3,3.7,4.2,2.6,67.84,7.76,18.6,2.9,51.7,3.83,63.6,10.59,22.5,0.4,41.4,3.24,65.07
제주,2016,13,0.0,14.67,21.6,6.9,25.3,2.4,65.8,10.04,15.5,6.6,0.0,3.2,56.33,11.67,21.3,3.7,4.2,2.6,67.84,7.76,18.6,2.9,51.7,3.83,63.6
제주,2016,14,0.0,14.33,21.6,11.1,22.7,2.34,79.54,14.67,21.6,6.9,25.3,2.4,65.8,10.04,15.5,6.6,0.0,3.2,56.33,11.67,21.3,3.7,4.2,2.6,67.84
제주,2016,15,0.0,15.99,24.5,11.0,43.2,3.73,74.97,14.33,21.6,11.1,22.7,2.34,79.54,14.67,21.6,6.9,25.3,2.4,65.8,10.04,15.5,6.6,0.0,3.2,56.33
제주,2016,16,0.0,16.34,22.4,11.5,7.1,2.86,69.23,15.99,24.5,11.0,43.2,3.73,74.97,14.33,21.6,11.1,22.7,2.34,79.54,14.67,21.6,6.9,25.3,2.4,65.8
제주,2016,17,0.0,16.21,24.2,11.3,23.2,2.77,70.24,16.34,22.4,11.5,7.1,2.86,69.23,15.99,24.5,11.0,43.2,3.73,74.97,14.33,21.6,11.1,22.7,2.34,79.54
제주,2016,18,0.0,19.1,25.7,13.8,12.5,3.69,63.66,16.21,24.2,11.3,23.2,2.77,70.24,16.34,22.4,11.5,7.1,2.86,69.23,15.99,24.5,11.0,43.2,3.73,74.97
제주,2016,19,0.0,17.04,30.4,13.3,31.8,2.53,81.77,19.1,25.7,13.8,12.5,3.69,63.66,16.21,24.2,11.3,23.2,2.77,70.24,16.34,22.4,11.5,7.1,2.86,69.23
제주,2016,20,0.0,19.46,24.8,11.8,16.7,3.07,62.04,17.04,30.4,13.3,31.8,2.53,81.77,19.1,25.7,13.8,12.5,3.69,63.66,16.21,24.2,11.3,23.2,2.77,70.24
제주,2016,21,0.0,19.54,28.0,15.7,52.0,1.84,78.01,19.46,24.8,11.8,16.7,3.07,62.04,17.04,30.4,13.3,31.8,2.53,81.77,19.1,25.7,13.8,12.5,3.69,63.66
제주,2016,22,0.0,20.31,28.8,15.7,3.6,2.59,68.97,19.54,28.0,15.7,52.0,1.84,78.01,19.46,24.8,11.8,16.7,3.07,62.04,17.04,30.4,13.3,31.8,2.53,81.77
제주,2016,23,0.0,21.3,29.3,17.8,13.7,1.71,88.49,20.31,28.8,15.7,3.6,2.59,68.97,19.54,28.0,15.7,52.0,1.84,78.01,19.46,24.8,11.8,16.7,3.07,62.04
제주,2016,24,0.0,22.69,28.2,19.7,3.8,2.27,80.66,21.3,29.3,17.8,13.7,1.71,88.49,20.31,28.8,15.7,3.6,2.59,68.97,19.54,28.0,15.7,52.0,1.84,78.01
제주,2016,25,1.0,24.11,30.2,21.3,77.7,3.3,85.5,22.69,28.2,19.7,3.8,2.27,80.66,21.3,29.3,17.8,13.7,1.71,88.49,20.31,28.8,15.7,3.6,2.59,68.97
제주,2016,26,0.0,23.53,29.6,18.3,96.6,2.59,85.83,24.11,30.2,21.3,77.7,3.3,85.5,22.69,28.2,19.7,3.8,2.27,80.66,21.3,29.3,17.8,13.7,1.71,88.49
제주,2016,27,0.0,27.1,34.4,22.5,4.0,2.76,78.34,23.53,29.6,18.3,96.6,2.59,85.83,24.11,30.2,21.3,77.7,3.3,85.5,22.69,28.2,19.7,3.8,2.27,80.66
제주,2016,28,0.0,25.66,30.9,22.5,61.9,2.81,84.16,27.1,34.4,22.5,4.0,2.76,78.34,23.53,29.6,18.3,96.6,2.59,85.83,24.11,30.2,21.3,77.7,3.3,85.5
제주,2016,29,0.0,27.9,32.4,23.6,0.0,2.77,77.14,25.66,30.9,22.5,61.9,2.81,84.16,27.1,34.4,22.5,4.0,2.76,78.34,23.53,29.6,18.3,96.6,2.59,85.83
제주,2016,30,0.0,29.67,35.5,26.1,0.0,2.16,76.29,27.9,32.4,23.6,0.0,2.77,77.14,25.66,30.9,22.5,61.9,2.81,84.16,27.1,34.4,22.5,4.0,2.76,78.34
