지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
충북,2016,1,0.0,0.59,7.0,-4.9,0.0,1.37,45.91,1.6,11.5,-8.0,0.6,0.99,61.21,2.2,10.3,-5.1,0.9,1.33,64.99,1.36,8.6,-6.0,12.5,1.34,66.7
충북,2016,2,0.0,-0.93,6.2,-7.3,1.9,1.23,55.53,0.59,7.0,-4.9,0.0,1.37,45.91,1.6,11.5,-8.0,0.6,0.99,61.21,2.2,10.3,-5.1,0.9,1.33,64.99
충북,2016,3,0.0,-8.36,1.6,-16.3,3.6,1.76,57.89,-0.93,6.2,-7.3,1.9,1.23,55.53,0.59,7.0,-4.9,0.0,1.37,45.91,1.6,11.5,-8.0,0.6,0.99,61.21
충북,2016,4,0.0,-1.27,7.7,-13.4,0.2,1.11,59.99,-8.36,1.6,-16.3,3.6,1.76,57.89,-0.93,6.2,-7.3,1.9,1.23,55.53,0.59,7.0,-4.9,0.0,1.37,45.91
충북,2016,5,0.0,-2.34,4.7,-9.4,0.0,1.34,42.36,-1.27,7.7,-13.4,0.2,1.11,59.99,-8.36,1.6,-16.3,3.6,1.76,57.89,-0.93,6.2,-7.3,1.9,1.23,55.53
충북,2016,6,0.0,4.93,18.8,-6.1,24.9,1.6,59.44,-2.34,4.7,-9.4,0.0,1.34,42.36,-1.27,7.7,-13.4,0.2,1.11,59.99,-8.36,1.6,-16.3,3.6,1.76,57.89
충북,2016,7,0.0,0.69,9.2,-7.7,1.1,1.74,51.49,4.93,18.8,-6.1,24.9,1.6,59.44,-2.34,4.7,-9.4,0.0,1.34,42.36,-1.27,7.7,-13.4,0.2,1.11,59.99
충북,2016,8,0.0,1.34,9.0,-5.4,19.2,1.5,55.06,0.69,9.2,-7.7,1.1,1.74,51.49,4.93,18.8,-6.1,24.9,1.6,59.44,-2.34,4.7,-9.4,0.0,1.34,42.36
충북,2016,9,0.0,5.33,16.9,-7.3,9.7,1.39,62.14,1.34,9.0,-5.4,19.2,1.5,55.06,0.69,9.2,-7.7,1.1,1.74,51.49,4.93,18.8,-6.1,24.9,1.6,59.44
충북,2016,10,0.0,3.19,15.5,-3.4,0.0,1.6,39.56,5.33,16.9,-7.3,9.7,1.39,62.14,1.34,9.0,-5.4,19.2,1.5,55.06,0.69,9.2,-7.7,1.1,1.74,51.49
충북,2016,11,0.0,8.76,17.7,-0.9,3.8,1.14,49.99,3.19,15.5,-3.4,0.0,1.6,39.56,5.33,16.9,-7.3,9.7,1.39,62.14,1.34,9.0,-5.4,19.2,1.5,55.06
충북,2016,12,0.0,7.6,17.2,0.9,0.0,1.5,40.63,8.76,17.7,-0.9,3.8,1.14,49.99,3.19,15.5,-3.4,0.0,1.6,39.56,5.33,16.9,-7.3,9.7,1.39,62.14
충북,2016,13,0.0,13.13,24.9,0.2,0.0,1.46,37.37,7.6,17.2,0.9,0.0,1.5,40.63,8.76,17.7,-0.9,3.8,1.14,49.99,3.19,15.5,-3.4,0.0,1.6,39.56
충북,2016,14,0.0,13.96,24.2,5.8,23.3,1.8,52.41,13.13,24.9,0.2,0.0,1.46,37.37,7.6,17.2,0.9,0.0,1.5,40.63,8.76,17.7,-0.9,3.8,1.14,49.99
충북,2016,15,0.0,14.2,23.9,6.9,67.7,2.03,57.54,13.96,24.2,5.8,23.3,1.8,52.41,13.13,24.9,0.2,0.0,1.46,37.37,7.6,17.2,0.9,0.0,1.5,40.63
충북,2016,16,1.0,14.06,24.9,7.3,31.3,1.61,58.11,14.2,23.9,6.9,67.7,2.03,57.54,13.96,24.2,5.8,23.3,1.8,52.41,13.13,24.9,0.2,0.0,1.46,37.37
