지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
경기,2016,1,2.0,-1.37,7.3,-10.3,0.0,1.47,54.37,-1.0,8.8,-12.1,1.1,0.93,75.87,0.97,8.2,-6.0,4.0,1.27,72.53,-0.34,8.4,-10.1,3.6,1.41,69.5
경기,2016,2,1.0,-2.81,4.7,-12.4,0.4,1.07,64.11,-1.37,7.3,-10.3,0.0,1.47,54.37,-1.0,8.8,-12.1,1.1,0.93,75.87,0.97,8.2,-6.0,4.0,1.27,72.53
경기,2016,3,3.0,-9.37,0.3,-17.0,0.0,2.63,48.66,-2.81,4.7,-12.4,0.4,1.07,64.11,-1.37,7.3,-10.3,0.0,1.47,54.37,-1.0,8.8,-12.1,1.1,0.93,75.87
경기,2016,4,3.0,-3.24,7.6,-17.8,0.0,1.04,62.29,-9.37,0.3,-17.0,0.0,2.63,48.66,-2.81,4.7,-12.4,0.4,1.07,64.11,-1.37,7.3,-10.3,0.0,1.47,54.37
경기,2016,5,7.0,-4.14,5.6,-13.6,0.0,1.3,51.13,-3.24,7.6,-17.8,0.0,1.04,62.29,-9.37,0.3,-17.0,0.0,2.63,48.66,-2.81,4.7,-12.4,0.4,1.07,64.11
경기,2016,6,0.0,3.1,14.5,-8.0,23.0,1.59,69.46,-4.14,5.6,-13.6,0.0,1.3,51.13,-3.24,7.6,-17.8,0.0,1.04,62.29,-9.37,0.3,-17.0,0.0,2.63,48.66
경기,2016,7,4.0,-0.34,8.6,-8.4,0.4,1.6,61.4,3.1,14.5,-8.0,23.0,1.59,69.46,-4.14,5.6,-13.6,0.0,1.3,51.13,-3.24,7.6,-17.8,0.0,1.04,62.29
경기,2016,8,1.0,0.9,7.9,-8.5,1.6,1.64,57.43,-0.34,8.6,-8.4,0.4,1.6,61.4,3.1,14.5,-8.0,23.0,1.59,69.46,-4.14,5.6,-13.6,0.0,1.3,51.13
경기,2016,9,5.0,4.47,18.5,-10.2,24.5,1.73,67.51,0.9,7.9,-8.5,1.6,1.64,57.43,-0.34,8.6,-8.4,0.4,1.6,61.4,3.1,14.5,-8.0,23.0,1.59,69.46
경기,2016,10,2.0,2.77,11.9,-5.5,0.0,1.87,49.3,4.47,18.5,-10.2,24.5,1.73,67.51,0.9,7.9,-8.5,1.6,1.64,57.43,-0.34,8.6,-8.4,0.4,1.6,61.4
경기,2016,11,3.0,7.96,20.2,-4.2,0.0,1.16,56.29,2.77,11.9,-5.5,0.0,1.87,49.3,4.47,18.5,-10.2,24.5,1.73,67.51,0.9,7.9,-8.5,1.6,1.64,57.43
경기,2016,12,4.0,7.33,17.5,-1.9,0.0,1.47,50.93,7.96,20.2,-4.2,0.0,1.16,56.29,2.77,11.9,-5.5,0.0,1.87,49.3,4.47,18.5,-10.2,24.5,1.73,67.51
경기,2016,13,1.0,11.6,25.3,-1.6,0.0,1.41,49.76,7.33,17.5,-1.9,0.0,1.47,50.93,7.96,20.2,-4.2,0.0,1.16,56.29,2.77,11.9,-5.5,0.0,1.87,49.3
경기,2016,14,2.0,13.33,23.2,2.8,0.0,1.53,61.3,11.6,25.3,-1.6,0.0,1.41,49.76,7.33,17.5,-1.9,0.0,1.47,50.93,7.96,20.2,-4.2,0.0,1.16,56.29
경기,2016,15,0.0,13.6,24.7,5.7,45.5,2.23,59.87,13.33,23.2,2.8,0.0,1.53,61.3,11.6,25.3,-1.6,0.0,1.41,49.76,7.33,17.5,-1.9,0.0,1.47,50.93
경기,2016,16,1.0,13.9,25.1,4.7,26.2,1.73,63.41,13.6,24.7,5.7,45.5,2.23,59.87,13.33,23.2,2.8,0.0,1.53,61.3,11.6,25.3,-1.6,0.0,1.41,49.76
경기,2016,17,6.0,17.06,29.6,6.8,0.0,1.56,45.59,13.9,25.1,4.7,26.2,1.73,63.41,13.6,24.7,5.7,45.5,2.23,59.87,13.33,23.2,2.8,0.0,1.53,61.3
