지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
대구,2016,1,0.0,2.4,11.4,-4.1,0.0,2.39,49.69,1.59,13.9,-5.6,0.0,1.47,62.59,4.34,12.0,-2.5,2.5,1.56,66.39,3.23,11.0,-3.1,4.0,2.29,71.99
대구,2016,2,0.0,0.41,8.3,-6.0,1.0,1.73,57.41,2.4,11.4,-4.1,0.0,2.39,49.69,1.59,13.9,-5.6,0.0,1.47,62.59,4.34,12.0,-2.5,2.5,1.56,66.39
대구,2016,3,0.0,-4.77,3.7,-13.0,0.0,3.73,45.13,0.41,8.3,-6.0,1.0,1.73,57.41,2.4,11.4,-4.1,0.0,2.39,49.69,1.59,13.9,-5.6,0.0,1.47,62.59
대구,2016,4,0.0,-0.19,8.1,-10.2,22.8,1.33,71.56,-4.77,3.7,-13.0,0.0,3.73,45.13,0.41,8.3,-6.0,1.0,1.73,57.41,2.4,11.4,-4.1,0.0,2.39,49.69
대구,2016,5,0.0,0.11,6.5,-6.1,0.0,2.29,43.44,-0.19,8.1,-10.2,22.8,1.33,71.56,-4.77,3.7,-13.0,0.0,3.73,45.13,0.41,8.3,-6.0,1.0,1.73,57.41
대구,2016,6,0.0,6.03,15.9,-5.6,12.5,2.24,64.31,0.11,6.5,-6.1,0.0,2.29,43.44,-0.19,8.1,-10.2,22.8,1.33,71.56,-4.77,3.7,-13.0,0.0,3.73,45.13
대구,2016,7,1.0,2.66,11.1,-5.2,0.0,2.63,48.74,6.03,15.9,-5.6,12.5,2.24,64.31,0.11,6.5,-6.1,0.0,2.29,43.44,-0.19,8.1,-10.2,22.8,1.33,71.56
대구,2016,8,0.0,3.97,15.3,-3.1,3.0,2.03,53.86,2.66,11.1,-5.2,0.0,2.63,48.74,6.03,15.9,-5.6,12.5,2.24,64.31,0.11,6.5,-6.1,0.0,2.29,43.44
대구,2016,9,0.0,6.51,19.1,-4.6,49.5,2.6,63.49,3.97,15.3,-3.1,3.0,2.03,53.86,2.66,11.1,-5.2,0.0,2.63,48.74,6.03,15.9,-5.6,12.5,2.24,64.31
대구,2016,10,0.0,5.97,17.4,-1.8,0.0,2.56,45.31,6.51,19.1,-4.6,49.5,2.6,63.49,3.97,15.3,-3.1,3.0,2.03,53.86,2.66,11.1,-5.2,0.0,2.63,48.74
대구,2016,11,0.0,9.7,21.1,-1.4,11.5,2.14,58.16,5.97,17.4,-1.8,0.0,2.56,45.31,6.51,19.1,-4.6,49.5,2.6,63.49,3.97,15.3,-3.1,3.0,2.03,53.86
대구,2016,12,0.0,9.13,20.2,1.8,6.5,2.49,59.41,9.7,21.1,-1.4,11.5,2.14,58.16,5.97,17.4,-1.8,0.0,2.56,45.31,6.51,19.1,-4.6,49.5,2.6,63.49
대구,2016,13,1.0,13.53,24.3,3.7,17.0,1.83,51.29,9.13,20.2,1.8,6.5,2.49,59.41,9.7,21.1,-1.4,11.5,2.14,58.16,5.97,17.4,-1.8,0.0,2.56,45.31
대구,2016,14,0.0,14.37,25.7,8.3,43.0,1.99,62.06,13.53,24.3,3.7,17.0,1.83,51.29,9.13,20.2,1.8,6.5,2.49,59.41,9.7,21.1,-1.4,11.5,2.14,58.16
대구,2016,15,0.0,14.46,25.3,4.0,32.0,3.07,63.71,14.37,25.7,8.3,43.0,1.99,62.06,13.53,24.3,3.7,17.0,1.83,51.29,9.13,20.2,1.8,6.5,2.49,59.41
대구,2016,16,0.0,16.24,27.2,7.3,20.0,2.46,50.37,14.46,25.3,4.0,32.0,3.07,63.71,14.37,25.7,8.3,43.0,1.99,62.06,13.53,24.3,3.7,17.0,1.83,51.29
대구,2016,17,1.0,15.74,29.3,7.9,39.0,2.31,64.67,16.24,27.2,7.3,20.0,2.46,50.37,14.46,25.3,4.0,32.0,3.07,63.71,14.37,25.7,8.3,43.0,1.99,62.06
대구,2016,18,0.0,19.49,28.0,10.5,13.1,3.06,53.14,15.74,29.3,7.9,39.0,2.31,64.67,16.24,27.2,7.3,20.0,2.46,50.37,14.46,25.3,4.0,32.0,3.07,63.71
