지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
서울,2016,1,1.0,-1.56,5.3,-6.9,0.0,2.34,49.87,0.79,9.5,-9.5,2.5,1.87,66.49,1.01,10.6,-8.9,3.1,2.37,61.37,0.31,8.2,-7.4,2.6,2.43,60.69
서울,2016,2,0.0,-2.26,5.4,-9.1,0.5,2.3,54.81,-1.56,5.3,-6.9,0.0,2.34,49.87,0.79,9.5,-9.5,2.5,1.87,66.49,1.01,10.6,-8.9,3.1,2.37,61.37
서울,2016,3,0.0,-10.03,0.4,-18.0,0.2,3.37,46.37,-2.26,5.4,-9.1,0.5,2.3,54.81,-1.56,5.3,-6.9,0.0,2.34,49.87,0.79,9.5,-9.5,2.5,1.87,66.49
서울,2016,4,0.0,-2.24,5.4,-14.3,0.3,2.19,50.93,-10.03,0.4,-18.0,0.2,3.37,46.37,-2.26,5.4,-9.1,0.5,2.3,54.81,-1.56,5.3,-6.9,0.0,2.34,49.87
서울,2016,5,1.0,-3.23,4.0,-10.0,0.0,2.41,43.14,-2.24,5.4,-14.3,0.3,2.19,50.93,-10.03,0.4,-18.0,0.2,3.37,46.37,-2.26,5.4,-9.1,0.5,2.3,54.81
서울,2016,6,1.0,4.17,14.4,-6.8,41.6,3.19,63.69,-3.23,4.0,-10.0,0.0,2.41,43.14,-2.24,5.4,-14.3,0.3,2.19,50.93,-10.03,0.4,-18.0,0.2,3.37,46.37
서울,2016,7,2.0,-0.29,7.8,-10.0,0.8,2.81,52.03,4.17,14.4,-6.8,41.6,3.19,63.69,-3.23,4.0,-10.0,0.0,2.41,43.14,-2.24,5.4,-14.3,0.3,2.19,50.93
서울,2016,8,0.0,0.69,8.1,-6.8,5.2,2.43,49.84,-0.29,7.8,-10.0,0.8,2.81,52.03,4.17,14.4,-6.8,41.6,3.19,63.69,-3.23,4.0,-10.0,0.0,2.41,43.14
서울,2016,9,0.0,5.3,20.3,-7.5,40.3,2.77,60.93,0.69,8.1,-6.8,5.2,2.43,49.84,-0.29,7.8,-10.0,0.8,2.81,52.03,4.17,14.4,-6.8,41.6,3.19,63.69
서울,2016,10,1.0,2.17,12.2,-5.5,0.1,2.64,45.73,5.3,20.3,-7.5,40.3,2.77,60.93,0.69,8.1,-6.8,5.2,2.43,49.84,-0.29,7.8,-10.0,0.8,2.81,52.03
서울,2016,11,1.0,8.87,20.1,-1.0,0.0,2.19,49.81,2.17,12.2,-5.5,0.1,2.64,45.73,5.3,20.3,-7.5,40.3,2.77,60.93,0.69,8.1,-6.8,5.2,2.43,49.84
서울,2016,12,1.0,7.73,16.1,1.6,0.0,2.43,50.33,8.87,20.1,-1.0,0.0,2.19,49.81,2.17,12.2,-5.5,0.1,2.64,45.73,5.3,20.3,-7.5,40.3,2.77,60.93
서울,2016,13,0.0,12.44,23.8,2.3,2.1,2.21,46.34,7.73,16.1,1.6,0.0,2.43,50.33,8.87,20.1,-1.0,0.0,2.19,49.81,2.17,12.2,-5.5,0.1,2.64,45.73
서울,2016,14,3.0,12.49,22.9,5.1,10.5,2.29,61.83,12.44,23.8,2.3,2.1,2.21,46.34,7.73,16.1,1.6,0.0,2.43,50.33,8.87,20.1,-1.0,0.0,2.19,49.81
서울,2016,15,1.0,13.61,23.1,5.7,45.0,2.74,57.41,12.49,22.9,5.1,10.5,2.29,61.83,12.44,23.8,2.3,2.1,2.21,46.34,7.73,16.1,1.6,0.0,2.43,50.33
서울,2016,16,1.0,13.36,23.7,6.5,19.0,2.4,62.46,13.61,23.1,5.7,45.0,2.74,57.41,12.49,22.9,5.1,10.5,2.29,61.83,12.44,23.8,2.3,2.1,2.21,46.34
서울,2016,17,5.0,17.66,29.6,10.2,0.3,2.4,38.49,13.36,23.7,6.5,19.0,2.4,62.46,13.61,23.1,5.7,45.0,2.74,57.41,12.49,22.9,5.1,10.5,2.29,61.83
서울,2016,18,0.0,17.26,28.4,8.9,60.5,2.94,63.2,17.66,29.6,10.2,0.3,2.4,38.49,13.36,23.7,6.5,19.0,2.4,62.46,13.61,23.1,5.7,45.0,2.74,57.41
서울,2016,19,1.0,17.87,26.9,10.4,59.0,2.3,60.96,17.26,28.4,8.9,60.5,2.94,63.2,17.66,29.6,10.2,0.3,2.4,38.49,13.36,23.7,6.5,19.0,2.4,62.46
서울,2016,20,2.0,22.09,31.9,10.8,2.5,2.04,39.04,17.87,26.9,10.4,59.0,2.3,60.96,17.26,28.4,8.9,60.5,2.94,63.2,17.66,29.6,10.2,0.3,2.4,38.49
서울,2016,21,1.0,20.47,29.4,14.8,38.5,2.19,62.71,22.09,31.9,10.8,2.5,2.04,39.04,17.87,26.9,10.4,59.0,2.3,60.96,17.26,28.4,8.9,60.5,2.94,63.2
서울,2016,22,4.0,22.61,32.2,16.9,0.0,2.13,50.31,20.47,29.4,14.8,38.5,2.19,62.71,22.09,31.9,10.8,2.5,2.04,39.04,17.87,26.9,10.4,59.0,2.3,60.96
서울,2016,23,7.0,23.26,31.3,17.8,4.6,2.04,65.51,22.61,32.2,16.9,0.0,2.13,50.31,20.47,29.4,14.8,38.5,2.19,62.71,22.09,31.9,10.8,2.5,2.04,39.04
서울,2016,24,2.0,23.07,29.9,17.4,15.5,2.31,67.7,23.26,31.3,17.8,4.6,2.04,65.51,22.61,32.2,16.9,0.0,2.13,50.31,20.47,29.4,14.8,38.5,2.19,62.71
서울,2016,25,4.0,24.29,31.3,19.2,34.1,2.14,67.07,23.07,29.9,17.4,15.5,2.31,67.7,23.26,31.3,17.8,4.6,2.04,65.51,22.61,32.2,16.9,0.0,2.13,50.31
서울,2016,26,5.0,24.29,30.2,19.9,112.7,2.1,70.14,24.29,31.3,19.2,34.1,2.14,67.07,23.07,29.9,17.4,15.5,2.31,67.7,23.26,31.3,17.8,4.6,2.04,65.51
서울,2016,27,4.0,24.96,33.1,20.1,130.0,2.09,74.29,24.29,30.2,19.9,112.7,2.1,70.14,24.29,31.3,19.2,34.1,2.14,67.07,23.07,29.9,17.4,15.5,2.31,67.7
서울,2016,28,2.0,25.31,33.4,19.8,53.6,2.39,72.07,24.96,33.1,20.1,130.0,2.09,74.29,24.29,30.2,19.9,112.7,2.1,70.14,24.29,31.3,19.2,34.1,2.14,67.07
서울,2016,29,1.0,27.74,34.1,20.7,1.2,1.89,68.1,25.31,33.4,19.8,53.6,2.39,72.07,24.96,33.1,20.1,130.0,2.09,74.29,24.29,30.2,19.9,112.7,2.1,70.14
서울,2016,30,2.0,28.03,33.0,23.4,60.9,2.26,74.17,27.74,34.1,20.7,1.2,1.89,68.1,25.31,33.4,19.8,53.6,2.39,72.07,24.96,33.1,20.1,130.0,2.09,74.29
서울,2016,31,2.0,29.67,36.0,24.0,2.0,1.63,64.34,28.03,33.0,23.4,60.9,2.26,74.17,27.74,34.1,20.7,1.2,1.89,68.1,25.31,33.4,19.8,53.6,2.39,72.07
서울,2016,32,1.0,29.89,36.4,26.1,1.2,1.99,67.43,29.67,36.0,24.0,2.0,1.63,64.34,28.03,33.0,23.4,60.9,2.26,74.17,27.74,34.1,20.7,1.2,1.89,68.1
서울,2016,33,2.0,29.7,36.6,25.1,12.0,1.74,62.67,29.89,36.4,26.1,1.2,1.99,67.43,29.67,36.0,24.0,2.0,1.63,64.34,28.03,33.0,23.4,60.9,2.26,74.17
서울,2016,34,3.0,26.09,36.3,16.9,34.4,2.46,59.87,29.7,36.6,25.1,12.0,1.74,62.67,29.89,36.4,26.1,1.2,1.99,67.43,29.67,36.0,24.0,2.0,1.63,64.34
서울,2016,35,2.0,22.49,29.6,15.8,22.5,2.6,69.3,26.09,36.3,16.9,34.4,2.46,59.87,29.7,36.6,25.1,12.0,1.74,62.67,29.89,36.4,26.1,1.2,1.99,67.43
서울,2016,36,4.0,24.46,31.1,19.7,4.5,1.67,69.16,22.49,29.6,15.8,22.5,2.6,69.3,26.09,36.3,16.9,34.4,2.46,59.87,29.7,36.6,25.1,12.0,1.74,62.67
서울,2016,37,4.0,23.96,30.8,18.5,9.5,2.04,64.1,24.46,31.1,19.7,4.5,1.67,69.16,22.49,29.6,15.8,22.5,2.6,69.3,26.09,36.3,16.9,34.4,2.46,59.87
서울,2016,38,0.0,21.61,29.7,14.3,0.0,2.11,51.46,23.96,30.8,18.5,9.5,2.04,64.1,24.46,31.1,19.7,4.5,1.67,69.16,22.49,29.6,15.8,22.5,2.6,69.3
서울,2016,39,4.0,20.79,28.9,16.7,32.5,1.84,72.94,21.61,29.7,14.3,0.0,2.11,51.46,23.96,30.8,18.5,9.5,2.04,64.1,24.46,31.1,19.7,4.5,1.67,69.16
