지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
울산,2016,1,1.0,3.87,13.9,-2.8,0.0,2.3,41.9,3.81,15.6,-2.7,0.0,1.9,49.9,6.77,14.8,-0.9,4.4,1.97,60.39,4.99,12.2,-4.2,3.7,1.86,64.54
울산,2016,2,2.0,2.37,8.8,-4.5,9.8,1.76,48.9,3.87,13.9,-2.8,0.0,2.3,41.9,3.81,15.6,-2.7,0.0,1.9,49.9,6.77,14.8,-0.9,4.4,1.97,60.39
울산,2016,3,1.0,-2.67,6.1,-11.4,0.3,3.66,35.24,2.37,8.8,-4.5,9.8,1.76,48.9,3.87,13.9,-2.8,0.0,2.3,41.9,3.81,15.6,-2.7,0.0,1.9,49.9
울산,2016,4,0.0,2.0,9.7,-7.4,40.5,2.1,67.21,-2.67,6.1,-11.4,0.3,3.66,35.24,2.37,8.8,-4.5,9.8,1.76,48.9,3.87,13.9,-2.8,0.0,2.3,41.9
울산,2016,5,2.0,2.1,9.9,-4.8,0.0,2.23,35.76,2.0,9.7,-7.4,40.5,2.1,67.21,-2.67,6.1,-11.4,0.3,3.66,35.24,2.37,8.8,-4.5,9.8,1.76,48.9
울산,2016,6,1.0,7.89,17.4,-1.4,30.1,2.49,61.8,2.1,9.9,-4.8,0.0,2.23,35.76,2.0,9.7,-7.4,40.5,2.1,67.21,-2.67,6.1,-11.4,0.3,3.66,35.24
울산,2016,7,0.0,4.11,14.5,-3.7,0.0,2.89,43.27,7.89,17.4,-1.4,30.1,2.49,61.8,2.1,9.9,-4.8,0.0,2.23,35.76,2.0,9.7,-7.4,40.5,2.1,67.21
울산,2016,8,2.0,5.81,15.9,-2.0,2.3,2.41,49.01,4.11,14.5,-3.7,0.0,2.89,43.27,7.89,17.4,-1.4,30.1,2.49,61.8,2.1,9.9,-4.8,0.0,2.23,35.76
울산,2016,9,0.0,8.04,19.0,-4.0,43.6,2.34,59.56,5.81,15.9,-2.0,2.3,2.41,49.01,4.11,14.5,-3.7,0.0,2.89,43.27,7.89,17.4,-1.4,30.1,2.49,61.8
울산,2016,10,0.0,6.54,16.6,-1.0,7.1,2.16,49.19,8.04,19.0,-4.0,43.6,2.34,59.56,5.81,15.9,-2.0,2.3,2.41,49.01,4.11,14.5,-3.7,0.0,2.89,43.27
울산,2016,11,0.0,10.06,20.0,-0.1,26.7,2.13,60.7,6.54,16.6,-1.0,7.1,2.16,49.19,8.04,19.0,-4.0,43.6,2.34,59.56,5.81,15.9,-2.0,2.3,2.41,49.01
울산,2016,12,1.0,8.61,20.9,2.1,14.8,2.14,64.26,10.06,20.0,-0.1,26.7,2.13,60.7,6.54,16.6,-1.0,7.1,2.16,49.19,8.04,19.0,-4.0,43.6,2.34,59.56
울산,2016,13,0.0,13.57,21.6,5.7,5.1,2.06,65.37,8.61,20.9,2.1,14.8,2.14,64.26,10.06,20.0,-0.1,26.7,2.13,60.7,6.54,16.6,-1.0,7.1,2.16,49.19
울산,2016,14,2.0,14.04,24.3,6.9,67.5,2.0,69.07,13.57,21.6,5.7,5.1,2.06,65.37,8.61,20.9,2.1,14.8,2.14,64.26,10.06,20.0,-0.1,26.7,2.13,60.7
울산,2016,15,0.0,13.79,24.8,4.1,42.7,2.66,70.39,14.04,24.3,6.9,67.5,2.0,69.07,13.57,21.6,5.7,5.1,2.06,65.37,8.61,20.9,2.1,14.8,2.14,64.26
울산,2016,16,1.0,15.56,26.2,9.0,30.0,2.13,62.03,13.79,24.8,4.1,42.7,2.66,70.39,14.04,24.3,6.9,67.5,2.0,69.07,13.57,21.6,5.7,5.1,2.06,65.37
