지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
인천,2016,1,0.0,-0.47,5.2,-5.1,0.0,3.27,61.99,1.96,11.1,-7.9,1.5,2.59,79.11,1.51,8.6,-8.5,3.7,3.4,74.3,1.23,7.8,-5.6,2.3,3.17,73.2
인천,2016,2,0.0,-1.11,5.5,-7.3,1.7,2.84,67.06,-0.47,5.2,-5.1,0.0,3.27,61.99,1.96,11.1,-7.9,1.5,2.59,79.11,1.51,8.6,-8.5,3.7,3.4,74.3
인천,2016,3,0.0,-9.03,1.8,-16.3,0.2,5.3,60.39,-1.11,5.5,-7.3,1.7,2.84,67.06,-0.47,5.2,-5.1,0.0,3.27,61.99,1.96,11.1,-7.9,1.5,2.59,79.11
인천,2016,4,0.0,-1.54,4.8,-12.0,0.9,3.13,66.0,-9.03,1.8,-16.3,0.2,5.3,60.39,-1.11,5.5,-7.3,1.7,2.84,67.06,-0.47,5.2,-5.1,0.0,3.27,61.99
인천,2016,5,0.0,-2.26,4.1,-7.5,0.0,3.03,56.64,-1.54,4.8,-12.0,0.9,3.13,66.0,-9.03,1.8,-16.3,0.2,5.3,60.39,-1.11,5.5,-7.3,1.7,2.84,67.06
인천,2016,6,2.0,4.91,15.6,-5.8,37.5,3.97,74.03,-2.26,4.1,-7.5,0.0,3.03,56.64,-1.54,4.8,-12.0,0.9,3.13,66.0,-9.03,1.8,-16.3,0.2,5.3,60.39
인천,2016,7,1.0,0.47,7.3,-8.6,1.3,4.04,67.14,4.91,15.6,-5.8,37.5,3.97,74.03,-2.26,4.1,-7.5,0.0,3.03,56.64,-1.54,4.8,-12.0,0.9,3.13,66.0
인천,2016,8,3.0,1.1,6.7,-5.7,4.3,3.1,66.94,0.47,7.3,-8.6,1.3,4.04,67.14,4.91,15.6,-5.8,37.5,3.97,74.03,-2.26,4.1,-7.5,0.0,3.03,56.64
인천,2016,9,3.0,5.57,19.5,-5.0,43.9,4.4,76.67,1.1,6.7,-5.7,4.3,3.1,66.94,0.47,7.3,-8.6,1.3,4.04,67.14,4.91,15.6,-5.8,37.5,3.97,74.03
인천,2016,10,0.0,2.31,10.2,-2.5,0.1,4.13,61.13,5.57,19.5,-5.0,43.9,4.4,76.67,1.1,6.7,-5.7,4.3,3.1,66.94,0.47,7.3,-8.6,1.3,4.04,67.14
인천,2016,11,1.0,7.94,17.5,0.6,0.0,2.49,69.99,2.31,10.2,-2.5,0.1,4.13,61.13,5.57,19.5,-5.0,43.9,4.4,76.67,1.1,6.7,-5.7,4.3,3.1,66.94
인천,2016,12,0.0,6.51,12.4,2.3,0.0,3.11,73.73,7.94,17.5,0.6,0.0,2.49,69.99,2.31,10.2,-2.5,0.1,4.13,61.13,5.57,19.5,-5.0,43.9,4.4,76.67
인천,2016,13,1.0,11.13,19.7,3.3,0.2,2.73,66.69,6.51,12.4,2.3,0.0,3.11,73.73,7.94,17.5,0.6,0.0,2.49,69.99,2.31,10.2,-2.5,0.1,4.13,61.13
인천,2016,14,2.0,10.86,21.2,5.9,11.4,2.89,80.69,11.13,19.7,3.3,0.2,2.73,66.69,6.51,12.4,2.3,0.0,3.11,73.73,7.94,17.5,0.6,0.0,2.49,69.99
인천,2016,15,0.0,12.29,20.1,5.8,47.4,3.37,79.47,10.86,21.2,5.9,11.4,2.89,80.69,11.13,19.7,3.3,0.2,2.73,66.69,6.51,12.4,2.3,0.0,3.11,73.73
인천,2016,16,0.0,12.31,20.9,7.4,21.9,3.03,82.53,12.29,20.1,5.8,47.4,3.37,79.47,10.86,21.2,5.9,11.4,2.89,80.69,11.13,19.7,3.3,0.2,2.73,66.69
인천,2016,17,2.0,16.27,27.8,10.2,0.0,3.39,59.97,12.31,20.9,7.4,21.9,3.03,82.53,12.29,20.1,5.8,47.4,3.37,79.47,10.86,21.2,5.9,11.4,2.89,80.69
인천,2016,18,0.0,16.44,27.0,9.8,58.4,4.57,78.34,16.27,27.8,10.2,0.0,3.39,59.97,12.31,20.9,7.4,21.9,3.03,82.53,12.29,20.1,5.8,47.4,3.37,79.47
인천,2016,19,0.0,16.64,25.0,11.5,49.0,3.34,80.44,16.44,27.0,9.8,58.4,4.57,78.34,16.27,27.8,10.2,0.0,3.39,59.97,12.31,20.9,7.4,21.9,3.03,82.53
인천,2016,20,1.0,20.9,29.3,11.6,0.3,2.47,57.51,16.64,25.0,11.5,49.0,3.34,80.44,16.44,27.0,9.8,58.4,4.57,78.34,16.27,27.8,10.2,0.0,3.39,59.97
인천,2016,21,5.0,18.76,25.9,14.5,40.8,2.6,87.66,20.9,29.3,11.6,0.3,2.47,57.51,16.64,25.0,11.5,49.0,3.34,80.44,16.44,27.0,9.8,58.4,4.57,78.34
인천,2016,22,1.0,21.13,28.7,16.5,0.0,2.5,76.49,18.76,25.9,14.5,40.8,2.6,87.66,20.9,29.3,11.6,0.3,2.47,57.51,16.64,25.0,11.5,49.0,3.34,80.44
