지역,연도,주차,환자수,평균기온(°C),최고기온(°C),최저기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),1주전_평균기온,1주전_최고기온,1주전_최저기온,1주전_누적강수량,1주전_평균풍속,1주전_평균상대습도,2주전_평균기온,2주전_최고기온,2주전_최저기온,2주전_누적강수량,2주전_평균풍속,2주전_평균상대습도,3주전_평균기온,3주전_최고기온,3주전_최저기온,3주전_누적강수량,3주전_평균풍속,3주전_평균상대습도
충남,2016,1,0.0,0.23,7.3,-5.9,0.0,1.94,62.3,1.27,12.9,-9.2,0.5,1.56,74.27,1.83,9.9,-5.9,1.5,1.83,74.34,1.49,8.5,-6.8,10.8,1.71,77.04
충남,2016,2,1.0,-1.09,7.4,-9.9,0.5,1.49,69.13,0.23,7.3,-5.9,0.0,1.94,62.3,1.27,12.9,-9.2,0.5,1.56,74.27,1.83,9.9,-5.9,1.5,1.83,74.34
충남,2016,3,0.0,-8.69,1.1,-16.8,7.5,2.73,71.9,-1.09,7.4,-9.9,0.5,1.49,69.13,0.23,7.3,-5.9,0.0,1.94,62.3,1.27,12.9,-9.2,0.5,1.56,74.27
충남,2016,4,1.0,-2.77,5.8,-18.6,0.0,1.21,74.84,-8.69,1.1,-16.8,7.5,2.73,71.9,-1.09,7.4,-9.9,0.5,1.49,69.13,0.23,7.3,-5.9,0.0,1.94,62.3
충남,2016,5,0.0,-3.53,4.6,-11.7,0.0,1.79,65.33,-2.77,5.8,-18.6,0.0,1.21,74.84,-8.69,1.1,-16.8,7.5,2.73,71.9,-1.09,7.4,-9.9,0.5,1.49,69.13
충남,2016,6,1.0,4.97,18.4,-6.3,21.6,2.9,69.4,-3.53,4.6,-11.7,0.0,1.79,65.33,-2.77,5.8,-18.6,0.0,1.21,74.84,-8.69,1.1,-16.8,7.5,2.73,71.9
충남,2016,7,2.0,0.63,9.6,-6.8,0.5,2.43,65.0,4.97,18.4,-6.3,21.6,2.9,69.4,-3.53,4.6,-11.7,0.0,1.79,65.33,-2.77,5.8,-18.6,0.0,1.21,74.84
충남,2016,8,2.0,1.39,7.9,-7.3,21.5,1.9,68.03,0.63,9.6,-6.8,0.5,2.43,65.0,4.97,18.4,-6.3,21.6,2.9,69.4,-3.53,4.6,-11.7,0.0,1.79,65.33
충남,2016,9,0.0,5.0,17.9,-10.4,15.5,2.29,73.9,1.39,7.9,-7.3,21.5,1.9,68.03,0.63,9.6,-6.8,0.5,2.43,65.0,4.97,18.4,-6.3,21.6,2.9,69.4
충남,2016,10,0.0,2.77,15.5,-5.0,0.0,2.59,56.29,5.0,17.9,-10.4,15.5,2.29,73.9,1.39,7.9,-7.3,21.5,1.9,68.03,0.63,9.6,-6.8,0.5,2.43,65.0
충남,2016,11,1.0,7.6,17.6,-4.4,1.0,1.69,63.4,2.77,15.5,-5.0,0.0,2.59,56.29,5.0,17.9,-10.4,15.5,2.29,73.9,1.39,7.9,-7.3,21.5,1.9,68.03
충남,2016,12,0.0,6.51,17.3,-3.1,0.0,1.94,57.21,7.6,17.6,-4.4,1.0,1.69,63.4,2.77,15.5,-5.0,0.0,2.59,56.29,5.0,17.9,-10.4,15.5,2.29,73.9
충남,2016,13,1.0,11.87,24.5,-2.1,0.3,1.7,49.84,6.51,17.3,-3.1,0.0,1.94,57.21,7.6,17.6,-4.4,1.0,1.69,63.4,2.77,15.5,-5.0,0.0,2.59,56.29
충남,2016,14,1.0,12.93,23.7,1.0,19.5,1.67,59.96,11.87,24.5,-2.1,0.3,1.7,49.84,6.51,17.3,-3.1,0.0,1.94,57.21,7.6,17.6,-4.4,1.0,1.69,63.4
충남,2016,15,1.0,13.24,23.8,3.7,64.3,2.19,62.19,12.93,23.7,1.0,19.5,1.67,59.96,11.87,24.5,-2.1,0.3,1.7,49.84,6.51,17.3,-3.1,0.0,1.94,57.21
충남,2016,16,2.0,13.2,25.6,3.7,27.0,1.64,63.66,13.24,23.8,3.7,64.3,2.19,62.19,12.93,23.7,1.0,19.5,1.67,59.96,11.87,24.5,-2.1,0.3,1.7,49.84
충남,2016,17,6.0,15.79,28.7,5.8,7.2,1.69,50.63,13.2,25.6,3.7,27.0,1.64,63.66,13.24,23.8,3.7,64.3,2.19,62.19,12.93,23.7,1.0,19.5,1.67,59.96
충남,2016,18,5.0,16.93,27.6,5.6,34.1,2.64,57.14,15.79,28.7,5.8,7.2,1.69,50.63,13.2,25.6,3.7,27.0,1.64,63.66,13.24,23.8,3.7,64.3,2.19,62.19
충남,2016,19,2.0,16.83,26.2,9.1,46.8,1.71,64.3,16.93,27.6,5.6,34.1,2.64,57.14,15.79,28.7,5.8,7.2,1.69,50.63,13.2,25.6,3.7,27.0,1.64,63.66
충남,2016,20,4.0,18.89,30.4,6.0,8.0,1.2,52.56,16.83,26.2,9.1,46.8,1.71,64.3,16.93,27.6,5.6,34.1,2.64,57.14,15.79,28.7,5.8,7.2,1.69,50.63
충남,2016,21,2.0,19.44,28.8,11.3,18.3,1.07,64.26,18.89,30.4,6.0,8.0,1.2,52.56,16.83,26.2,9.1,46.8,1.71,64.3,16.93,27.6,5.6,34.1,2.64,57.14
충남,2016,22,0.0,20.44,29.6,11.7,0.0,1.27,58.49,19.44,28.8,11.3,18.3,1.07,64.26,18.89,30.4,6.0,8.0,1.2,52.56,16.83,26.2,9.1,46.8,1.71,64.3
충남,2016,23,5.0,21.9,30.8,14.0,0.1,1.27,71.68,20.44,29.6,11.7,0.0,1.27,58.49,19.44,28.8,11.3,18.3,1.07,64.26,18.89,30.4,6.0,8.0,1.2,52.56
충남,2016,24,4.0,22.16,30.5,14.5,0.6,1.37,73.84,21.9,30.8,14.0,0.1,1.27,71.68,20.44,29.6,11.7,0.0,1.27,58.49,19.44,28.8,11.3,18.3,1.07,64.26
충남,2016,25,1.0,23.3,31.1,15.1,35.5,1.61,72.84,22.16,30.5,14.5,0.6,1.37,73.84,21.9,30.8,14.0,0.1,1.27,71.68,20.44,29.6,11.7,0.0,1.27,58.49
충남,2016,26,3.0,23.49,30.3,15.6,67.3,1.29,77.34,23.3,31.1,15.1,35.5,1.61,72.84,22.16,30.5,14.5,0.6,1.37,73.84,21.9,30.8,14.0,0.1,1.27,71.68
충남,2016,27,2.0,24.3,32.0,19.2,184.5,1.29,84.17,23.49,30.3,15.6,67.3,1.29,77.34,23.3,31.1,15.1,35.5,1.61,72.84,22.16,30.5,14.5,0.6,1.37,73.84
충남,2016,28,1.0,23.73,31.8,19.4,31.2,1.47,80.4,24.3,32.0,19.2,184.5,1.29,84.17,23.49,30.3,15.6,67.3,1.29,77.34,23.3,31.1,15.1,35.5,1.61,72.84
